Trial	RT	Difference	sDifference	Direction	Confidence

1	697	-807	-101	-14	-31
2	4609	3105	125	-4	-16
3	964	-540	-68	-8	-7
4	2740	1236	125	-6	-5
5	1787	283	35	5	-23
6	1087	-417	-52	-7	-6
7	1299	-205	-26	-4	-13
8	1885	381	48	-7	3
9	1410	-94	-12	-4	-9
10	1425	-79	-10	-5	3
11	1335	-169	-21	-2	13
12	1386	-118	-15	-3	15
13	1420	-84	-11	3	6
14	1530	26	3	-3	5
15	1357	-147	-18	1	21
16	1314	-190	-24	-2	11
17	1417	-87	-11	-4	13
18	1430	-74	-9	2	5
19	1481	-23	-3	-2	13
20	1393	-111	-14	2	3
21	1455	-49	-6	1	5
22	1617	113	14	2	11
23	1425	-79	-10	3	24
24	1586	82	10	-1	9
25	1621	117	15	3	4
26	1219	-285	-36	1	13
27	1512	8	1	-2	-4
28	1442	-62	-8	1	6
29	1009	-495	-62	-24	20
30	1560	56	7	-5	7
31	1455	-49	-6	2	5
32	1478	-26	-3	1	9
33	1430	-74	-9	-1	5
34	1457	-47	-6	-2	17
35	1432	-72	-9	1	21
36	1526	22	3	2	16
37	1550	46	6	-2	7
38	1527	23	3	2	6
39	1440	-64	-8	-2	11
40	1474	-30	-4	2	13
41	1465	-39	-5	2	10
42	1633	129	16	4	5
43	1476	-28	-4	3	16
44	1391	-113	-14	-2	9
45	1604	100	13	0	11
46	1372	-132	-17	4	7
47	1551	47	6	2	-4
48	1509	5	1	2	8
49	1391	-113	-14	2	13
50	1502	-2	0	2	10
51	1380	-124	-16	3	-8
52	1768	264	33	-2	5
53	1489	-15	-2	3	-9
54	1339	-165	-21	-5	4
55	1576	72	9	2	5
56	1414	-90	-11	2	5
57	1840	336	42	1	5
58	1752	248	31	6	-7
59	1498	-6	-1	3	5
60	1431	-73	-9	-4	7
61	1809	305	38	-2	8
62	1665	161	20	3	-8
63	1593	89	11	4	5
64	1690	186	23	11	3
65	1504	0	0	-2	5
66	1394	-110	-14	-1	7
67	1464	-40	-5	2	4
68	1561	57	7	-2	10
69	1528	24	3	2	-5
70	1658	154	19	7	3
71	1585	81	10	1	6
72	1526	22	3	3	9
73	1486	-18	-2	1	15
74	1518	14	2	-1	8
75	1518	14	2	-3	5
76	1548	44	6	-1	8
77	1655	151	19	-1	6
78	1580	76	10	2	-4
79	1438	-66	-8	0	7
80	1420	-84	-11	-1	7
81	1541	37	5	-1	11
82	1634	130	16	-2	10
83	1435	-69	-9	-2	6
84	1500	-4	-1	-3	17
85	1399	-105	-13	-3	14
86	1630	126	16	-4	-9
87	1565	61	8	7	5
88	1776	272	34	4	4
89	1550	46	6	-2	-8
90	1449	-55	-7	-2	5
91	1584	80	10	1	6
92	1514	10	1	-2	5
93	1518	14	2	3	-4
94	1570	66	8	2	7
95	1527	23	3	-2	-8
96	1375	-129	-16	5	-5
97	1427	-77	-10	-1	8
98	1387	-117	-15	-2	8
99	2108	604	76	12	9
100	1380	-124	-16	3	4
101	1402	-102	-13	-3	-10
102	1456	-48	-6	3	-5
103	1475	-29	-4	-3	6
104	1387	-117	-15	0	-3
105	1498	-6	-1	3	5
106	1569	65	8	2	10
107	1441	-63	-8	3	4
108	1457	-47	-6	-2	3
109	1505	1	0	-1	-4
110	1421	-83	-10	1	2
111	1600	96	12	4	8
112	1495	-9	-1	3	14
113	1536	32	4	2	13
114	1531	27	3	6	10
115	1649	145	18	-2	8
116	1480	-24	-3	2	-6
117	1548	44	6	4	-9
118	1814	310	39	1	-4
119	1493	-11	-1	4	-6
120	1512	8	1	-2	9
121	1463	-41	-5	1	14
122	1486	-18	-2	5	11
123	1670	166	21	-3	-13
124	1507	3	0	3	-10
125	1473	-31	-4	-2	-18
126	1484	-20	-3	9	-5
127	1438	-66	-8	0	9
128	1447	-57	-7	2	11
129	1557	53	7	2	-9
130	1615	111	14	-4	5
131	1505	1	0	-2	8
132	1440	-64	-8	3	8
133	1644	140	18	4	-10
134	1379	-125	-16	-2	9
135	1355	-149	-19	0	9
136	1562	58	7	5	13
137	1410	-94	-12	-1	11
138	1338	-166	-21	3	7
139	1311	-193	-24	-2	8
140	1456	-48	-6	-1	7
141	1446	-58	-7	-1	7
142	1664	160	20	5	9
143	1371	-133	-17	-1	9
144	1440	-64	-8	-1	5
145	1805	301	38	5	11
146	1267	-237	-30	-4	12
147	1326	-178	-22	-1	12
148	1333	-171	-21	-3	11
149	2041	537	67	2	-13
150	1297	-207	-26	-1	14
151	1465	-39	-5	-1	6
152	1317	-187	-23	-1	8
153	1261	-243	-30	-3	9
154	1450	-54	-7	-3	6
155	1421	-83	-10	0	11
156	1394	-110	-14	-1	8
157	1621	117	15	2	6
158	1494	-10	-1	5	10
159	1389	-115	-14	1	-4
160	1395	-109	-14	1	-9
161	1541	37	5	5	3
162	1260	-244	-31	-4	8
