Trial	RT	Difference	sDifference	Direction	Confidence

1	1036	-468	-59	-6	9
2	1447	-57	-7	-1	7
3	2011	507	63	2	3
4	1324	-180	-23	-2	3
5	751	-753	-94	-2	4
6	1235	-269	-34	-2	-3
7	1229	-275	-34	-2	3
8	1437	-67	-8	4	-4
9	1090	-414	-52	-1	5
10	2075	571	71	5	2
11	1807	303	38	4	3
12	1350	-154	-19	3	6
13	871	-633	-79	-20	6
14	2124	620	78	2	-5
15	1423	-81	-10	4	-7
16	1775	271	34	2	4
17	2073	569	71	3	-12
18	1144	-360	-45	-3	10
19	1593	89	11	-3	-10
20	1405	-99	-12	0	-10
21	1450	-54	-7	-2	8
22	1782	278	35	-1	11
23	1386	-118	-15	4	6
24	1727	223	28	4	-7
25	1416	-88	-11	-2	7
26	1686	182	23	2	11
27	1450	-54	-7	-2	5
28	1174	-330	-41	-5	9
29	1704	200	25	5	12
30	1507	3	0	3	8
31	1451	-53	-7	1	11
32	1537	33	4	1	13
33	1404	-100	-13	1	21
34	1542	38	5	1	12
35	1647	143	18	4	15
36	1651	147	18	1	19
37	1121	-383	-48	-1	6
38	1695	191	24	-1	4
39	1546	42	5	0	-6
40	1297	-207	-26	0	-18
41	1904	400	50	-7	8
42	1493	-11	-1	-2	9
43	1373	-131	-16	-1	10
44	1343	-161	-20	-3	16
45	1958	454	57	-2	15
46	1085	-419	-52	-2	-5
47	1829	325	41	-5	-12
48	1452	-52	-7	3	-9
49	1615	111	14	1	9
50	1689	185	23	5	15
51	1092	-412	-52	-7	-10
52	1671	167	21	-3	-7
53	1826	322	40	2	-7
54	870	-634	-79	-2	5
55	1654	150	19	-1	4
56	1514	10	1	8	3
57	1556	52	7	-3	11
58	1279	-225	-28	-5	15
59	1610	106	13	2	6
60	1652	148	19	6	11
61	1600	96	12	9	16
62	1547	43	5	6	13
63	1513	9	1	2	12
64	1323	-181	-23	-1	3
65	1648	144	18	-1	9
66	1192	-312	-39	-2	8
67	1699	195	24	-1	12
68	1494	-10	-1	-1	4
69	1290	-214	-27	-5	9
70	1760	256	32	-1	11
71	1360	-144	-18	-3	15
72	1839	335	42	1	4
73	1513	9	1	6	11
74	1633	129	16	6	13
75	1638	134	17	2	2
76	1709	205	26	-1	4
77	1416	-88	-11	-1	5
78	1827	323	40	3	10
