Trial	RT	Difference	sDifference	Direction	Confidence

1	707	-797	-100	0	-30
2	1588	84	11	-25	11
3	957	-547	-68	0	-10
4	1397	-107	-13	-11	16
5	1533	29	4	-5	5
6	1835	331	41	0	1
7	1789	285	36	0	7
8	1859	355	44	0	-4
9	1391	-113	-14	0	-12
10	1168	-336	-42	1	2
11	820	-684	-86	3	12
12	843	-661	-83	-21	20
13	891	-613	-77	-4	4
14	2189	685	86	6	4
15	1650	146	18	-5	-22
16	1076	-428	-54	-8	2
17	1480	-24	-3	-1	6
18	961	-543	-68	-27	20
19	1303	-201	-25	-2	4
20	1885	381	48	-3	0
21	1161	-343	-43	0	-11
22	1293	-211	-26	-9	13
23	1382	-122	-15	-3	16
24	2112	608	76	0	6
25	1109	-395	-49	-5	3
26	1047	-457	-57	-9	16
27	1110	-394	-49	-4	8
28	1233	-271	-34	0	-13
29	1582	78	10	-3	-3
30	1325	-179	-22	0	20
31	1435	-69	-9	-3	-14
32	1425	-79	-10	-2	19
33	1235	-269	-34	-4	19
34	1409	-95	-12	1	-30
35	1276	-228	-29	0	3
36	1515	11	1	-3	-30
37	2080	576	72	2	15
38	1009	-495	-62	0	4
39	1470	-34	-4	-4	2
40	1244	-260	-33	0	9
41	1366	-138	-17	-1	3
42	1295	-209	-26	-1	-27
43	1328	-176	-22	-1	1
44	1355	-149	-19	-1	20
45	1684	180	23	1	-14
46	1406	-98	-12	0	0
47	1224	-280	-35	0	0
48	1394	-110	-14	-2	-15
49	1304	-200	-25	0	-6
50	1529	25	3	2	1
51	2042	538	67	0	-20
52	1421	-83	-10	2	5
53	2821	1317	125	28	29
54	435	-1069	-125	-29	30
55	1337	-167	-21	0	0
56	1474	-30	-4	0	3
57	1242	-262	-33	0	5
58	1291	-213	-27	3	9
59	1203	-301	-38	0	16
60	1104	-400	-50	-2	-2
61	1577	73	9	0	-16
62	1152	-352	-44	0	-4
63	1265	-239	-30	-3	-8
64	1678	174	22	-2	4
65	1176	-328	-41	0	-6
66	1222	-282	-35	0	-17
67	1344	-160	-20	0	-6
68	1220	-284	-36	0	-3
69	1379	-125	-16	-1	2
70	1271	-233	-29	1	0
71	2154	650	81	0	-31
72	1210	-294	-37	0	7
73	1258	-246	-31	-2	-10
74	1309	-195	-24	0	-6
75	1714	210	26	3	5
76	1472	-32	-4	-6	12
77	1024	-480	-60	0	2
78	1112	-392	-49	0	-22
79	1252	-252	-32	-1	-15
80	1374	-130	-16	-1	-19
81	1568	64	8	4	14
82	1551	47	6	0	16
83	1526	22	3	0	-19
84	1128	-376	-47	-1	-13
85	1621	117	15	-4	-11
86	1511	7	1	0	-12
87	1483	-21	-3	-1	7
88	1301	-203	-25	0	-12
89	1704	200	25	2	13
90	4681	3177	125	27	28
91	1296	-208	-26	0	-18
92	1225	-279	-35	0	-4
93	1461	-43	-5	-1	-1
94	1360	-144	-18	0	-18
95	1451	-53	-7	3	-12
96	1282	-222	-28	-3	-27
97	1294	-210	-26	0	-4
98	1374	-130	-16	-1	4
99	1607	103	13	1	15
100	1886	382	48	0	-7
101	1835	331	41	1	-8
102	1109	-395	-49	0	-10
103	2046	542	68	1	-7
104	1059	-445	-56	0	-11
105	1386	-118	-15	0	-18
106	1222	-282	-35	0	0
107	1503	-1	0	0	-2
108	1368	-136	-17	0	1
109	1513	9	1	0	-1
110	1214	-290	-36	0	2
111	1261	-243	-30	0	2
112	1594	90	11	0	0
113	1544	40	5	0	1
114	1277	-227	-28	0	3
115	1344	-160	-20	0	2
116	1341	-163	-20	0	9
117	1133	-371	-46	1	24
118	1246	-258	-32	0	-3
119	1272	-232	-29	-3	-9
120	1563	59	7	-1	-17
121	1405	-99	-12	-1	-18
122	1196	-308	-39	0	0
123	1250	-254	-32	-1	1
124	1383	-121	-15	-3	8
125	1428	-76	-10	-2	0
126	1414	-90	-11	2	15
127	1312	-192	-24	1	8
128	2101	597	75	0	-23
129	1390	-114	-14	-7	-25
130	1359	-145	-18	0	-10
131	1386	-118	-15	0	-5
132	1358	-146	-18	0	11
133	1541	37	5	0	3
134	1230	-274	-34	1	18
135	1532	28	4	0	-12
136	1352	-152	-19	0	-5
137	1368	-136	-17	0	-6
138	1577	73	9	0	-1
139	1357	-147	-18	0	-2
140	1489	-15	-2	0	-1
141	1338	-166	-21	0	0
142	1346	-158	-20	0	-16
143	1073	-431	-54	0	-29
144	1920	416	52	4	18
145	1325	-179	-22	-2	-19
146	1227	-277	-35	-2	-12
147	1584	80	10	0	4
148	1197	-307	-38	0	4
149	1432	-72	-9	0	0
150	1330	-174	-22	4	12
151	1253	-251	-31	4	-5
152	1694	190	24	-4	-7
153	1413	-91	-11	2	10
154	1495	-9	-1	2	0
155	958	-546	-68	-1	10
156	1261	-243	-30	0	4
157	1201	-303	-38	-1	1
158	1255	-249	-31	3	6
159	1649	145	18	-1	-20
160	1232	-272	-34	0	-4
161	1183	-321	-40	1	-10
162	1406	-98	-12	-2	6
163	1385	-119	-15	0	-12
164	1220	-284	-36	-1	11
165	1772	268	34	1	-4
166	1369	-135	-17	0	-23
167	1331	-173	-22	-3	18
168	1564	60	8	-1	12
169	1731	227	28	-1	-13
170	2169	665	83	2	-7
171	1540	36	5	0	-18
172	1976	472	59	0	-10
173	1155	-349	-44	4	9
174	1166	-338	-42	-1	5
175	1344	-160	-20	1	9
176	1257	-247	-31	0	5
177	1627	123	15	0	0
178	1238	-266	-33	2	5
179	1125	-379	-47	-3	21
180	1446	-58	-7	1	12
181	1221	-283	-35	0	-5
182	1422	-82	-10	-1	4
183	1355	-149	-19	0	11
184	1659	155	19	1	7
185	1342	-162	-20	1	5
186	1967	463	58	-1	-5
187	1313	-191	-24	3	-16
188	1264	-240	-30	-1	-2
189	1769	265	33	-2	5
190	1492	-12	-2	2	7
191	1950	446	56	2	11
192	1385	-119	-15	0	-8
193	1299	-205	-26	-1	7
194	2012	508	64	0	5
195	1174	-330	-41	-2	-22
196	1822	318	40	3	-7
197	2950	1446	125	30	30
198	1660	156	20	2	-18
199	1552	48	6	0	-9
200	1706	202	25	0	0
201	2568	1064	125	29	13
202	1525	21	3	-2	8
203	1163	-341	-43	0	-9
204	1657	153	19	-2	-22
205	1565	61	8	1	-1
206	1215	-289	-36	0	4
207	1462	-42	-5	0	-15
208	2117	613	77	-3	0
209	1921	417	52	0	-9
210	1088	-416	-52	-1	4
211	1751	247	31	-1	1
212	1939	435	54	0	-5
213	2287	783	98	2	-3
214	1573	69	9	0	4
215	1433	-71	-9	-1	3
216	1752	248	31	0	-14
217	1757	253	32	-2	-2
218	1351	-153	-19	0	14
219	3282	1778	125	12	20
220	1976	472	59	-1	-1
221	1735	231	29	3	-7
222	1752	248	31	-1	-9
223	1593	89	11	0	26
224	1581	77	10	0	18
225	1503	-1	0	0	20
226	1719	215	27	0	19
227	1656	152	19	0	27
228	1358	-146	-18	0	30
229	1557	53	7	0	28
230	1453	-51	-6	0	30
231	1550	46	6	-1	30
232	1846	342	43	0	29
233	1417	-87	-11	-1	25
234	1758	254	32	0	29
235	1515	11	1	0	10
236	1534	30	4	0	29
237	1717	213	27	0	28
238	1662	158	20	2	28
239	1610	106	13	0	20
240	1484	-20	-3	0	28
241	1470	-34	-4	2	29
242	1578	74	9	0	31
243	2252	748	94	12	23
244	1483	-21	-3	0	28
245	1570	66	8	2	24
246	1461	-43	-5	0	29
247	1362	-142	-18	2	26
248	1342	-162	-20	-2	27
249	1718	214	27	1	29
250	1417	-87	-11	1	26
