Trial	RT	Difference	sDifference	Direction	Confidence

1	962	-542	-68	0	-17
2	1774	270	34	0	-17
3	765	-739	-92	-6	5
4	1718	214	27	-3	3
5	1621	117	15	1	-5
6	1491	-13	-2	0	2
7	1420	-84	-11	1	9
8	1648	144	18	2	-4
9	1749	245	31	5	6
10	1116	-388	-49	-3	7
11	1659	155	19	1	-13
12	1726	222	28	1	2
13	1474	-30	-4	0	0
14	1485	-19	-2	-2	-2
15	1648	144	18	1	6
16	1577	73	9	-2	6
17	1428	-76	-10	-3	2
18	1483	-21	-3	0	0
19	1379	-125	-16	2	7
20	1353	-151	-19	-2	-2
21	1866	362	45	1	2
22	1320	-184	-23	0	-7
23	1558	54	7	3	2
24	1392	-112	-14	-1	-3
25	1533	29	4	0	1
26	1619	115	14	-1	2
27	1695	191	24	0	-11
28	1241	-263	-33	-6	4
29	1385	-119	-15	-4	2
30	1348	-156	-20	0	0
31	1423	-81	-10	1	-9
32	1710	206	26	4	4
33	969	-535	-67	-10	12
34	1472	-32	-4	0	-12
35	1336	-168	-21	0	-10
36	1474	-30	-4	1	-15
37	1414	-90	-11	1	-15
38	1507	3	0	-1	-7
39	1382	-122	-15	-3	-24
40	1342	-162	-20	-2	6
41	1362	-142	-18	1	5
42	1585	81	10	0	0
43	1560	56	7	-1	2
44	1385	-119	-15	-3	5
45	1818	314	39	3	-4
46	1493	-11	-1	-1	-24
47	1590	86	11	1	-9
48	1782	278	35	3	-8
49	1534	30	4	2	-5
50	1435	-69	-9	-4	8
51	1269	-235	-29	0	0
52	1620	116	15	2	3
53	1505	1	0	3	5
54	1446	-58	-7	-1	1
55	1579	75	9	3	-12
56	1750	246	31	-2	-9
57	1585	81	10	2	6
58	1538	34	4	1	1
59	1288	-216	-27	-2	-4
60	1471	-33	-4	3	-4
61	1087	-417	-52	-2	4
62	1895	391	49	0	0
63	1621	117	15	-2	8
64	1788	284	36	2	4
65	1507	3	0	3	-13
66	1642	138	17	-1	-26
67	1534	30	4	1	-21
68	2001	497	62	-17	-18
69	1501	-3	0	-1	6
70	1472	-32	-4	0	0
71	1429	-75	-9	-6	-31
72	2172	668	84	7	-29
73	1389	-115	-14	-8	-30
74	1761	257	32	12	13
75	1587	83	10	1	0
76	1765	261	33	1	-16
77	1263	-241	-30	2	-13
78	1601	97	12	1	12
79	1173	-331	-41	2	10
80	1491	-13	-2	-1	5
81	609	-895	-112	-21	24
82	1201	-303	-38	0	-13
83	1490	-14	-2	0	-13
84	1549	45	6	0	-24
85	1543	39	5	0	-15
86	1445	-59	-7	0	-28
87	2014	510	64	0	-8
88	1402	-102	-13	0	-14
89	1685	181	23	1	-8
90	1630	126	16	-6	10
91	1682	178	22	2	-6
92	1433	-71	-9	0	0
93	1698	194	24	-3	9
94	1565	61	8	0	-31
95	1587	83	10	-6	-5
96	1577	73	9	-2	4
97	1896	392	49	2	13
98	1492	-12	-2	-1	0
99	1755	251	31	1	-14
100	1867	363	45	-8	-29
101	1156	-348	-44	0	-30
102	1892	388	49	4	2
103	1486	-18	-2	-2	3
104	1703	199	25	-3	4
105	1728	224	28	-2	-2
106	1217	-287	-36	-4	-19
107	1689	185	23	0	-16
108	2089	585	73	0	-28
109	2137	633	79	-18	-30
110	1469	-35	-4	9	13
111	1644	140	18	0	-14
112	1551	47	6	-7	6
113	1388	-116	-15	1	-5
114	1229	-275	-34	-6	-6
115	1415	-89	-11	0	0
116	2084	580	73	3	7
117	1419	-85	-11	-10	5
118	1495	-9	-1	-4	3
119	1446	-58	-7	4	-17
120	1420	-84	-11	0	0
121	1493	-11	-1	-11	-27
122	1719	215	27	0	-29
123	1752	248	31	1	-4
124	1648	144	18	-6	-23
125	1637	133	17	1	-18
126	1497	-7	-1	3	-12
127	1717	213	27	-8	-9
128	2080	576	72	-12	-27
129	1606	102	13	-2	4
130	1681	177	22	1	-15
131	1769	265	33	1	-17
132	2491	987	123	0	-27
133	1679	175	22	0	-20
134	1597	93	12	2	-29
135	1817	313	39	-3	-22
136	1731	227	28	0	-7
137	1467	-37	-5	-6	-19
138	1559	55	7	-3	-11
139	1658	154	19	0	0
140	1701	197	25	5	-14
141	1336	-168	-21	-3	5
142	1677	173	22	0	0
143	1442	-62	-8	0	0
144	1734	230	29	0	-6
145	1676	172	22	-1	5
146	1334	-170	-21	-1	-10
147	1747	243	30	0	-18
148	1611	107	13	0	-21
149	1805	301	38	6	5
150	1189	-315	-39	-18	6
151	1554	50	6	-13	-19
152	1343	-161	-20	-14	-14
153	1780	276	35	2	-14
154	1508	4	1	0	0
155	1576	72	9	0	0
156	1661	157	20	0	-19
157	1758	254	32	-5	3
158	1471	-33	-4	-1	-24
159	1624	120	15	0	0
160	1431	-73	-9	0	-13
161	1502	-2	0	5	-16
162	1312	-192	-24	0	-18
163	1687	183	23	3	3
164	1808	304	38	3	-24
165	2120	616	77	4	-20
166	2118	614	77	7	0
167	1888	384	48	3	5
168	1515	11	1	-4	0
169	1464	-40	-5	0	-24
170	1551	47	6	0	13
171	1410	-94	-12	0	-7
