Trial	RT	Difference	sDifference	Direction	Confidence

1	396	-1108	-125	-4	-18
2	272	-1232	-125	-10	-17
3	713	-791	-99	-3	4
4	1176	-328	-41	3	0
5	810	-694	-87	0	10
6	817	-687	-86	-12	18
7	1069	-435	-54	7	7
8	975	-529	-66	-2	-9
9	1086	-418	-52	0	-17
10	1365	-139	-17	0	-10
11	996	-508	-64	0	-6
12	1207	-297	-37	0	-8
13	1135	-369	-46	-2	-4
14	1139	-365	-46	-7	-9
15	1275	-229	-29	0	0
16	1370	-134	-17	-3	-4
17	1290	-214	-27	-2	-2
18	1206	-298	-37	-2	-3
19	1449	-55	-7	-4	3
20	1235	-269	-34	-2	18
21	1511	7	1	0	16
22	1377	-127	-16	-4	22
23	1300	-204	-26	-2	20
24	1454	-50	-6	0	25
25	1255	-249	-31	-3	26
26	1576	72	9	0	27
27	1777	273	34	-3	11
28	1459	-45	-6	0	22
29	1417	-87	-11	6	9
30	1633	129	16	-1	7
31	1092	-412	-52	0	14
32	1418	-86	-11	0	0
33	747	-757	-95	-7	13
34	1348	-156	-20	0	-5
35	1119	-385	-48	-1	5
36	1269	-235	-29	0	-4
37	1222	-282	-35	0	9
38	964	-540	-68	-2	9
39	1447	-57	-7	3	0
40	1269	-235	-29	0	10
41	1071	-433	-54	0	-4
42	1021	-483	-60	-5	11
43	1116	-388	-49	0	10
44	1274	-230	-29	0	0
45	1388	-116	-15	0	-6
46	1253	-251	-31	0	-3
47	1242	-262	-33	0	9
48	1300	-204	-26	0	0
49	1109	-395	-49	-6	11
50	1396	-108	-14	-2	9
51	1335	-169	-21	-2	-17
52	1111	-393	-49	0	-3
53	1335	-169	-21	-2	15
54	1088	-416	-52	-2	20
55	1447	-57	-7	0	12
56	1403	-101	-13	0	14
57	1179	-325	-41	-1	20
58	1160	-344	-43	-3	12
59	1420	-84	-11	-7	7
60	1267	-237	-30	0	8
61	1173	-331	-41	0	0
62	1153	-351	-44	0	9
63	1527	23	3	-3	5
64	1642	138	17	0	14
65	1105	-399	-50	2	0
66	1459	-45	-6	0	2
67	1111	-393	-49	0	-2
68	1464	-40	-5	0	-3
69	1483	-21	-3	-3	11
70	1765	261	33	-1	10
71	1227	-277	-35	0	-7
72	1525	21	3	0	-3
73	1292	-212	-27	-1	11
74	1378	-126	-16	-2	12
75	1594	90	11	0	-1
76	1790	286	36	1	2
77	1574	70	9	3	4
78	1056	-448	-56	-1	7
79	1457	-47	-6	0	0
80	1760	256	32	0	11
81	1365	-139	-17	0	2
82	1153	-351	-44	1	-3
83	1386	-118	-15	2	5
84	1442	-62	-8	0	14
85	1313	-191	-24	0	11
86	1490	-14	-2	-2	8
87	1355	-149	-19	0	4
88	1609	105	13	0	0
89	1399	-105	-13	0	4
90	1440	-64	-8	0	14
91	1459	-45	-6	0	16
92	1334	-170	-21	0	17
93	1511	7	1	0	14
94	1456	-48	-6	0	14
95	1363	-141	-18	0	11
96	1227	-277	-35	0	6
97	1229	-275	-34	0	13
98	1766	262	33	0	9
99	1109	-395	-49	0	-4
100	1085	-419	-52	-4	4
101	1674	170	21	10	5
102	1140	-364	-46	0	8
103	1461	-43	-5	0	-11
104	1255	-249	-31	0	17
105	1332	-172	-22	-1	11
106	1356	-148	-19	0	12
107	1417	-87	-11	-2	13
108	1470	-34	-4	-3	16
109	1254	-250	-31	-2	16
110	1357	-147	-18	0	8
111	1474	-30	-4	0	7
112	1129	-375	-47	0	15
113	1444	-60	-8	-2	10
114	1047	-457	-57	-5	8
115	1256	-248	-31	-1	9
116	1337	-167	-21	0	5
117	1253	-251	-31	-1	1
118	1286	-218	-27	0	-11
119	1092	-412	-52	-4	16
120	1422	-82	-10	-3	9
121	1117	-387	-48	0	4
122	1465	-39	-5	0	-8
123	1498	-6	-1	0	6
124	1254	-250	-31	0	8
125	1297	-207	-26	0	6
126	1656	152	19	-2	0
127	1374	-130	-16	0	-4
128	1335	-169	-21	2	-2
129	1488	-16	-2	0	6
130	1230	-274	-34	-1	13
131	1167	-337	-42	-3	7
132	1127	-377	-47	-1	8
133	1347	-157	-20	-3	7
134	1160	-344	-43	0	13
135	1186	-318	-40	-2	7
136	1436	-68	-9	-3	12
137	1807	303	38	0	15
138	1186	-318	-40	0	0
139	1592	88	11	0	-3
140	1113	-391	-49	0	4
141	1423	-81	-10	0	7
142	1445	-59	-7	0	4
143	1011	-493	-62	-6	11
144	1504	0	0	0	11
145	1460	-44	-6	1	4
146	1591	87	11	1	0
147	1419	-85	-11	1	10
148	1591	87	11	0	7
149	995	-509	-64	-2	8
150	1297	-207	-26	0	16
151	1511	7	1	3	-3
152	1397	-107	-13	2	1
153	1488	-16	-2	0	12
154	1387	-117	-15	0	18
155	1219	-285	-36	2	-1
156	1438	-66	-8	0	10
157	1356	-148	-19	0	11
158	1387	-117	-15	-1	14
159	1339	-165	-21	0	18
160	1430	-74	-9	0	15
161	1215	-289	-36	-3	12
162	1395	-109	-14	-2	12
163	1515	11	1	0	14
164	1316	-188	-24	0	15
165	1528	24	3	-3	17
166	1504	0	0	0	11
167	1289	-215	-27	-1	11
168	1501	-3	0	0	13
169	1365	-139	-17	0	18
170	1423	-81	-10	0	11
171	1620	116	15	0	12
172	1388	-116	-15	0	16
173	1583	79	10	0	18
174	1639	135	17	1	-7
175	1802	298	37	0	13
176	1586	82	10	5	17
177	1489	-15	-2	2	8
178	1856	352	44	0	13
179	1180	-324	-41	0	-11
180	1429	-75	-9	0	5
181	1273	-231	-29	0	12
182	1358	-146	-18	0	3
183	1462	-42	-5	-1	8
184	1411	-93	-12	0	12
185	1154	-350	-44	0	18
186	1320	-184	-23	0	11
187	1602	98	12	1	0
188	1980	476	60	3	10
189	1137	-367	-46	0	-14
190	1505	1	0	0	22
191	1541	37	5	0	12
192	1146	-358	-45	0	17
193	1245	-259	-32	14	-27
194	1721	217	27	-4	15
195	1163	-341	-43	0	-3
196	1378	-126	-16	-2	7
197	1591	87	11	0	4
198	1391	-113	-14	0	-6
199	1298	-206	-26	0	15
200	1554	50	6	-2	15
201	1247	-257	-32	-1	10
202	1057	-447	-56	-2	7
203	1297	-207	-26	0	13
204	1348	-156	-20	0	3
205	1375	-129	-16	-1	10
206	1400	-104	-13	-1	17
207	1404	-100	-13	-3	16
