Trial	RT	Difference	sDifference	Direction	Confidence

1	447	-1057	-125	-16	-20
2	887	-617	-77	-25	-15
3	856	-648	-81	-3	-5
4	708	-796	-100	-17	7
5	1320	-184	-23	-9	6
6	1007	-497	-62	-4	6
7	1552	48	6	-7	12
8	1142	-362	-45	-3	17
9	1583	79	10	-4	20
10	975	-529	-66	-7	4
11	1049	-455	-57	-18	17
12	1134	-370	-46	-5	9
13	1372	-132	-17	-3	3
14	1208	-296	-37	-9	4
15	1404	-100	-13	-6	16
16	1252	-252	-32	-2	24
17	1424	-80	-10	-6	11
18	1520	16	2	0	14
19	1279	-225	-28	-2	21
20	1404	-100	-13	0	9
21	1663	159	20	-2	-11
22	1312	-192	-24	1	-4
23	1880	376	47	3	-17
24	1273	-231	-29	-7	-4
25	1530	26	3	2	2
26	1370	-134	-17	0	3
27	1659	155	19	0	3
28	1406	-98	-12	-6	-3
29	1316	-188	-24	9	8
30	1779	275	34	-1	4
31	1376	-128	-16	-5	-17
32	1613	109	14	-2	14
33	1615	111	14	-1	5
34	1327	-177	-22	0	-9
35	1790	286	36	1	-5
36	1630	126	16	-2	-15
37	1396	-108	-14	-8	-20
38	1664	160	20	2	-7
39	1298	-206	-26	-6	-1
40	1471	-33	-4	-1	0
41	1226	-278	-35	-2	0
42	1450	-54	-7	1	-4
43	1557	53	7	-1	-8
44	1127	-377	-47	-2	-14
45	1653	149	19	1	-2
46	1518	14	2	-1	-4
47	1351	-153	-19	0	2
48	1464	-40	-5	-2	-1
49	1501	-3	0	3	-1
50	1616	112	14	1	1
51	1061	-443	-55	-2	-6
52	1553	49	6	-1	0
53	1469	-35	-4	1	15
54	1813	309	39	5	9
55	1352	-152	-19	-2	13
56	1419	-85	-11	-1	16
57	1634	130	16	0	16
58	1531	27	3	-2	6
59	1654	150	19	7	20
60	1480	-24	-3	-1	16
61	1344	-160	-20	0	18
62	1403	-101	-13	3	4
63	1472	-32	-4	2	6
64	1419	-85	-11	-1	9
65	1695	191	24	-3	-5
66	1409	-95	-12	0	-4
67	1255	-249	-31	-6	4
68	1420	-84	-11	-1	15
69	1355	-149	-19	-1	15
70	1622	118	15	0	18
71	1679	175	22	1	4
72	1326	-178	-22	2	6
73	1294	-210	-26	-2	-7
74	1344	-160	-20	-2	4
75	1504	0	0	4	-3
76	1490	-14	-2	1	13
77	1452	-52	-7	1	5
78	1413	-91	-11	-1	3
79	1486	-18	-2	-1	7
80	1495	-9	-1	-1	6
81	1391	-113	-14	1	12
82	1511	7	1	-4	-8
83	1438	-66	-8	-2	5
84	1445	-59	-7	1	12
85	1552	48	6	1	18
86	1555	51	6	2	17
87	1631	127	16	1	22
88	1487	-17	-2	0	23
89	1378	-126	-16	0	18
90	1541	37	5	0	19
91	1534	30	4	1	11
92	1517	13	2	0	15
93	1421	-83	-10	0	7
94	1608	104	13	0	19
95	1624	120	15	0	8
96	1825	321	40	3	2
97	1316	-188	-24	-3	6
98	1431	-73	-9	0	-8
99	1619	115	14	0	13
100	1534	30	4	1	-6
101	1638	134	17	3	-2
102	1385	-119	-15	0	8
103	1551	47	6	0	4
104	1505	1	0	0	2
105	1591	87	11	-1	7
106	1730	226	28	0	5
107	1640	136	17	4	-7
108	1541	37	5	5	7
109	1657	153	19	4	13
110	1783	279	35	1	14
111	1674	170	21	9	17
112	1477	-27	-3	0	8
113	1459	-45	-6	0	10
114	1466	-38	-5	4	13
115	1562	58	7	0	-2
116	1559	55	7	1	15
117	1703	199	25	2	11
118	1582	78	10	1	2
119	1553	49	6	1	7
120	1603	99	12	4	26
121	1418	-86	-11	1	17
