Trial	RT	Difference	sDifference	Direction	Confidence

1	2302	798	100	0	-30
2	1617	113	14	7	-10
3	188	-1316	-125	-22	0
4	1470	-34	-4	0	0
5	1415	-89	-11	0	0
6	1442	-62	-8	-5	0
7	1644	140	18	0	0
8	1061	-443	-55	-3	0
9	1419	-85	-11	-2	0
10	1668	164	21	0	0
11	1342	-162	-20	0	0
12	1549	45	6	-2	0
13	1218	-286	-36	-3	0
14	1882	378	47	0	0
15	1352	-152	-19	0	0
16	1474	-30	-4	0	0
17	1307	-197	-25	0	0
18	1660	156	20	0	0
19	1134	-370	-46	-4	0
20	1472	-32	-4	-2	0
21	1317	-187	-23	-3	0
22	1604	100	13	-1	0
23	1286	-218	-27	0	-3
24	1493	-11	-1	-3	0
25	1367	-137	-17	0	0
26	1545	41	5	0	0
27	1277	-227	-28	0	0
28	1602	98	12	0	0
29	1462	-42	-5	0	0
30	1600	96	12	-2	0
31	1158	-346	-43	0	0
32	1647	143	18	0	0
33	1166	-338	-42	-2	-4
34	1574	70	9	-2	-3
35	1229	-275	-34	-4	-2
36	1715	211	26	-3	-3
37	1111	-393	-49	-2	-2
38	1528	24	3	-3	0
39	1326	-178	-22	-1	-2
40	1399	-105	-13	-2	0
41	1303	-201	-25	-1	0
42	1738	234	29	2	0
43	1129	-375	-47	-3	0
44	1580	76	10	0	0
45	1423	-81	-10	0	-4
46	1496	-8	-1	0	0
47	1387	-117	-15	2	0
48	1324	-180	-23	-4	-4
49	1219	-285	-36	-4	-4
50	1687	183	23	-1	-2
51	1512	8	1	0	-30
52	2012	508	64	0	-14
53	1374	-130	-16	0	-12
54	1462	-42	-5	0	-16
55	1596	92	12	3	-12
56	1410	-94	-12	3	-8
57	1481	-23	-3	-2	-7
58	1573	69	9	-2	-6
59	1549	45	6	4	-7
60	1357	-147	-18	0	-3
61	1270	-234	-29	-4	-4
62	1431	-73	-9	-1	-4
63	1758	254	32	0	-7
64	1321	-183	-23	0	-7
65	1435	-69	-9	-1	-7
66	1386	-118	-15	-5	-8
67	1553	49	6	0	-2
68	1497	-7	-1	-3	-4
69	1632	128	16	-2	-2
70	1295	-209	-26	-2	-2
71	1609	105	13	0	-3
72	1326	-178	-22	-4	-3
73	1554	50	6	-4	-4
74	1431	-73	-9	0	-5
75	1967	463	58	0	-4
76	1389	-115	-14	0	-4
77	1447	-57	-7	0	-4
78	1381	-123	-15	0	-3
79	1572	68	9	-4	0
80	1459	-45	-6	0	-7
81	1362	-142	-18	0	-4
82	1586	82	10	0	-8
83	1382	-122	-15	0	-6
84	1617	113	14	0	-6
85	1396	-108	-14	0	-8
86	1645	141	18	0	-10
87	1435	-69	-9	-4	-11
88	1614	110	14	0	-8
89	1361	-143	-18	0	-12
90	1837	333	42	0	-5
91	1486	-18	-2	0	-6
92	1437	-67	-8	0	-7
93	1588	84	11	0	-6
94	1753	249	31	-6	-8
95	1565	61	8	0	-8
96	1444	-60	-8	-5	-9
97	1523	19	2	0	-8
98	1653	149	19	0	-10
99	1421	-83	-10	-7	-6
100	1353	-151	-19	-2	-10
101	2257	753	94	17	-25
102	1339	-165	-21	0	-29
103	1967	463	58	2	-20
104	1462	-42	-5	-3	-17
105	1470	-34	-4	0	-14
106	1829	325	41	-1	-14
107	1320	-184	-23	0	-18
108	1538	34	4	0	-15
109	1482	-22	-3	0	-12
110	1560	56	7	0	-13
111	1758	254	32	0	-13
112	1583	79	10	0	-20
113	1446	-58	-7	3	-9
114	1643	139	17	0	-10
115	1466	-38	-5	-4	-14
116	1282	-222	-28	-9	-11
117	1452	-52	-7	0	-9
118	1419	-85	-11	0	-14
119	1788	284	36	-2	-16
120	1364	-140	-18	0	-10
121	1490	-14	-2	0	-8
122	1392	-112	-14	0	-10
123	1426	-78	-10	0	-9
124	1360	-144	-18	0	-9
125	1698	194	24	0	-15
126	1323	-181	-23	0	-7
127	1697	193	24	0	-10
128	1653	149	19	-6	-4
129	1589	85	11	0	-7
130	1439	-65	-8	0	-5
131	1246	-258	-32	-3	-9
132	1413	-91	-11	0	-6
133	1587	83	10	0	-9
134	1510	6	1	0	-7
135	1433	-71	-9	-4	-6
136	1853	349	44	0	-4
137	1217	-287	-36	0	-6
138	1572	68	9	0	-5
139	1361	-143	-18	-8	-11
140	1516	12	2	0	-8
141	1653	149	19	0	-7
142	1418	-86	-11	0	-7
143	1325	-179	-22	0	-6
144	1787	283	35	-5	-8
145	1743	239	30	4	-8
146	1233	-271	-34	-2	-6
147	1401	-103	-13	0	-8
148	1339	-165	-21	0	-6
149	1425	-79	-10	0	-5
150	1425	-79	-10	0	-5
151	1597	93	12	0	-30
152	1807	303	38	-4	-20
153	1705	201	25	0	-21
154	1724	220	28	0	-21
155	1434	-70	-9	-3	-16
156	1224	-280	-35	-6	-13
157	1367	-137	-17	0	-7
158	1668	164	21	-7	-9
159	1383	-121	-15	0	-13
160	1624	120	15	-5	-18
161	2132	628	79	0	-10
162	1188	-316	-40	-7	-15
163	1629	125	16	-8	-18
164	1424	-80	-10	-5	-10
165	1760	256	32	0	-13
166	2235	731	91	0	-10
167	1364	-140	-18	-5	-9
168	1720	216	27	0	-17
169	1261	-243	-30	0	-9
170	1763	259	32	0	-12
171	1782	278	35	0	-9
172	1078	-426	-53	-3	-11
173	1227	-277	-35	0	-12
174	1946	442	55	0	-6
175	1240	-264	-33	-6	-7
176	2005	501	63	0	-11
177	1427	-77	-10	0	-5
178	1668	164	21	-5	-10
179	1457	-47	-6	0	-10
180	1454	-50	-6	0	-8
181	1197	-307	-38	-3	-13
182	1455	-49	-6	0	-9
183	1880	376	47	0	-8
184	1274	-230	-29	0	-5
185	1370	-134	-17	0	-10
186	1774	270	34	-7	-8
187	1716	212	27	0	-8
188	1217	-287	-36	0	-7
189	1520	16	2	0	-12
190	1399	-105	-13	0	-9
191	1333	-171	-21	-8	-9
192	1502	-2	0	-8	-15
193	1665	161	20	4	-8
194	1404	-100	-13	0	-8
195	1365	-139	-17	0	-9
196	1269	-235	-29	0	-7
197	1468	-36	-5	0	-8
198	1393	-111	-14	0	-8
199	1342	-162	-20	0	-2
200	1674	170	21	0	-6
201	1658	154	19	0	-30
202	1591	87	11	0	-22
203	1362	-142	-18	0	-8
204	1271	-233	-29	0	-11
205	1448	-56	-7	0	-5
206	1471	-33	-4	-4	-9
207	1594	90	11	0	-8
208	1119	-385	-48	-3	-5
209	1335	-169	-21	0	-6
210	1293	-211	-26	0	-5
211	1446	-58	-7	0	-4
212	1671	167	21	0	-6
213	1386	-118	-15	0	-5
214	1227	-277	-35	0	-5
215	1504	0	0	0	-11
216	1458	-46	-6	0	-7
217	1339	-165	-21	0	-8
218	1336	-168	-21	-4	-7
219	1451	-53	-7	0	-6
220	1275	-229	-29	0	-8
221	1500	-4	-1	0	-6
