Trial	RT	Difference	sDifference	Direction	Confidence

1	1317	-187	-23	-5	-9
2	1614	110	14	-9	10
3	1325	-179	-22	-1	16
4	1804	300	38	3	-12
5	1108	-396	-50	-5	-24
6	1689	185	23	2	-19
7	911	-593	-74	-9	-12
8	2295	791	99	9	13
9	1302	-202	-25	-10	4
10	1557	53	7	4	-13
11	1489	-15	-2	-3	6
12	1731	227	28	-2	13
13	1412	-92	-12	-9	15
14	1768	264	33	5	-15
15	1143	-361	-45	-5	-14
16	1630	126	16	6	-16
17	1500	-4	-1	-4	-9
18	1253	-251	-31	-2	16
19	1383	-121	-15	-5	-11
20	1501	-3	0	5	-6
21	1339	-165	-21	-3	7
22	1467	-37	-5	2	-4
23	1664	160	20	4	4
24	1322	-182	-23	-4	-11
25	1456	-48	-6	-6	5
26	1524	20	3	4	7
27	1507	3	0	-4	4
28	1302	-202	-25	-15	-12
29	1612	108	14	-6	6
30	1317	-187	-23	-5	6
31	1571	67	8	5	22
32	1304	-200	-25	5	-21
33	1576	72	9	5	-12
34	1232	-272	-34	3	-22
35	2069	565	71	5	-20
36	1447	-57	-7	-4	-19
37	1705	201	25	4	-19
38	1217	-287	-36	3	-25
39	1481	-23	-3	-6	13
40	1652	148	19	-3	-17
41	1678	174	22	-3	13
42	1155	-349	-44	4	-19
43	1839	335	42	4	8
44	1074	-430	-54	-10	3
45	1419	-85	-11	-4	-30
46	1263	-241	-30	5	-12
47	1492	-12	-2	-1	3
48	1297	-207	-26	-4	6
49	1465	-39	-5	-4	3
50	956	-548	-69	4	-18
51	1245	-259	-32	-4	12
52	1235	-269	-34	-6	5
53	1464	-40	-5	-2	5
54	1708	204	26	2	5
55	781	-723	-90	-10	-8
56	1257	-247	-31	4	10
57	1624	120	15	5	12
58	1063	-441	-55	-10	4
59	1608	104	13	-3	-18
60	1646	142	18	13	-11
61	1773	269	34	3	-8
62	1171	-333	-42	-10	11
63	1327	-177	-22	5	-23
64	1594	90	11	-8	8
65	2192	688	86	10	-18
66	1336	-168	-21	-5	4
