Trial	RT	Difference	sDifference	Direction	Confidence

1	1744	240	30	19	-28
2	1582	78	10	12	-4
3	1424	-80	-10	-2	9
4	1061	-443	-55	-8	10
5	1591	87	11	4	17
6	1966	462	58	2	16
7	1580	76	10	0	12
8	1678	174	22	0	14
9	1640	136	17	-7	12
10	1138	-366	-46	-22	19
11	1412	-92	-12	3	15
12	1546	42	5	-2	12
13	1210	-294	-37	-7	15
14	1618	114	14	-4	14
15	1971	467	58	-8	-11
16	1529	25	3	-12	14
17	1408	-96	-12	-3	-8
18	1496	-8	-1	-4	7
19	1280	-224	-28	0	3
20	1569	65	8	3	11
21	1478	-26	-3	-3	14
22	1607	103	13	0	12
23	1455	-49	-6	-8	14
24	1482	-22	-3	-5	-9
25	1336	-168	-21	-13	-7
26	1550	46	6	-2	7
27	1742	238	30	0	7
28	1491	-13	-2	-5	-13
29	1548	44	6	0	-14
30	1637	133	17	-7	-3
31	1456	-48	-6	0	-8
32	1426	-78	-10	0	-5
33	1486	-18	-2	-3	4
34	1577	73	9	-6	5
35	1382	-122	-15	-5	-3
36	1448	-56	-7	-6	-4
37	1772	268	34	-4	-9
38	1271	-233	-29	-2	-12
39	1666	162	20	-2	5
40	1424	-80	-10	-2	4
41	1494	-10	-1	3	4
42	1484	-20	-3	0	11
43	1463	-41	-5	0	14
44	1525	21	3	0	13
45	1419	-85	-11	0	22
46	1516	12	2	-2	16
47	1743	239	30	-1	4
48	1270	-234	-29	0	-11
49	1517	13	2	-3	5
50	1456	-48	-6	0	15
51	1685	181	23	0	-29
52	1517	13	2	-5	-20
53	1392	-112	-14	0	7
54	1372	-132	-17	3	-9
55	1595	91	11	2	-13
56	1384	-120	-15	0	-5
57	1534	30	4	-4	-1
58	1295	-209	-26	-1	4
59	1385	-119	-15	-3	0
60	1362	-142	-18	3	2
61	1409	-95	-12	2	8
62	1832	328	41	8	10
63	1417	-87	-11	-2	5
64	1691	187	23	7	-11
65	1462	-42	-5	-6	3
66	1377	-127	-16	0	10
67	1214	-290	-36	-7	7
68	1392	-112	-14	-5	-12
69	1337	-167	-21	-1	-2
70	1658	154	19	3	-8
71	1430	-74	-9	6	-5
72	1354	-150	-19	-3	-3
73	1381	-123	-15	5	-5
74	1333	-171	-21	9	-6
75	1575	71	9	-2	-3
76	1194	-310	-39	-3	0
77	1469	-35	-4	-2	0
78	1462	-42	-5	0	5
79	1435	-69	-9	-1	4
80	1584	80	10	2	5
81	1436	-68	-9	-2	3
82	1493	-11	-1	-3	6
83	1595	91	11	0	7
84	1613	109	14	4	-14
85	1478	-26	-3	0	-2
86	1517	13	2	0	10
87	1559	55	7	0	11
88	1472	-32	-4	0	11
89	1492	-12	-2	0	13
90	1569	65	8	0	14
91	1492	-12	-2	0	15
92	1406	-98	-12	0	13
93	1408	-96	-12	0	0
94	1432	-72	-9	0	5
95	1538	34	4	0	3
96	1460	-44	-6	0	15
97	1522	18	2	0	17
98	1517	13	2	0	18
99	1493	-11	-1	0	23
100	1480	-24	-3	0	25
101	1514	10	1	0	-23
102	1542	38	5	0	0
103	1531	27	3	0	7
104	1531	27	3	-2	0
105	1572	68	9	0	7
106	1432	-72	-9	0	5
107	1423	-81	-10	0	10
108	1649	145	18	4	-6
109	1404	-100	-13	0	-5
