Trial	RT	Difference	sDifference	Direction	Confidence

1	1205	-299	-37	0	0
2	1868	364	46	0	0
3	942	-562	-70	0	0
4	1125	-379	-47	-5	0
5	1920	416	52	8	6
6	1007	-497	-62	-3	5
7	1765	261	33	-4	0
8	988	-516	-65	-5	9
9	2377	873	109	4	6
10	1056	-448	-56	-7	0
11	1055	-449	-56	-4	7
12	1755	251	31	-4	14
13	872	-632	-79	-7	10
14	1524	20	3	0	19
15	1571	67	8	5	13
16	936	-568	-71	5	25
17	1525	21	3	-2	22
18	1063	-441	-55	0	20
19	1374	-130	-16	-4	11
20	1786	282	35	1	21
21	1561	57	7	0	18
22	1171	-333	-42	0	24
23	2061	557	70	0	15
24	1104	-400	-50	-6	10
25	1921	417	52	-6	-7
26	1505	1	0	0	-12
27	1588	84	11	0	16
28	1683	179	22	-3	5
29	1815	311	39	5	6
30	2045	541	68	15	9
31	1522	18	2	0	0
32	1750	246	31	2	14
33	1437	-67	-8	0	12
34	1553	49	6	0	-3
35	1685	181	23	0	2
36	1863	359	45	2	2
37	1764	260	33	5	2
38	1506	2	0	-5	5
39	847	-657	-82	-4	8
40	1956	452	57	-8	0
41	1675	171	21	0	10
42	1799	295	37	0	8
43	1637	133	17	3	7
44	1557	53	7	2	6
45	1456	-48	-6	-2	6
46	1807	303	38	0	17
47	1971	467	58	13	7
48	2499	995	124	4	18
49	1927	423	53	12	25
50	1844	340	43	5	24
51	2101	597	75	14	23
52	1623	119	15	3	26
53	1555	51	6	4	27
54	1704	200	25	5	26
55	1548	44	6	0	26
56	1583	79	10	0	24
57	1483	-21	-3	2	25
58	1617	113	14	0	25
59	1529	25	3	0	19
60	1471	-33	-4	1	26
61	1428	-76	-10	0	27
62	1331	-173	-22	0	23
63	1679	175	22	3	24
64	1523	19	2	1	27
65	1190	-314	-39	0	26
66	1497	-7	-1	-5	23
67	1116	-388	-49	-3	23
68	1631	127	16	1	24
69	1530	26	3	-3	27
70	1407	-97	-12	-3	28
71	1509	5	1	3	28
72	1325	-179	-22	-3	27
73	1450	-54	-7	0	24
74	1553	49	6	0	26
75	1612	108	14	0	23
76	1614	110	14	5	23
77	1413	-91	-11	4	27
78	1585	81	10	0	25
79	1786	282	35	3	25
80	1508	4	1	0	14
81	1339	-165	-21	-7	22
82	1574	70	9	0	15
83	1612	108	14	0	25
84	1502	-2	0	0	25
85	2172	668	84	11	23
86	1699	195	24	4	25
87	2070	566	71	7	23
88	1515	11	1	0	23
89	1548	44	6	-2	26
90	1548	44	6	4	28
91	1399	-105	-13	-1	28
92	1551	47	6	-1	26
93	1711	207	26	3	27
94	1489	-15	-2	2	28
95	1524	20	3	0	26
96	1506	2	0	0	27
97	1506	2	0	0	26
98	1480	-24	-3	0	28
99	1486	-18	-2	-2	26
100	1456	-48	-6	-2	30
101	1991	487	61	-4	11
102	1797	293	37	-3	13
103	1531	27	3	1	27
104	1519	15	2	0	28
105	1604	100	13	0	28
106	1693	189	24	0	27
107	1635	131	16	2	26
108	1375	-129	-16	0	27
109	1707	203	25	0	22
110	1493	-11	-1	0	25
111	1629	125	16	3	25
112	1566	62	8	0	27
113	1552	48	6	2	28
114	1543	39	5	1	29
115	1507	3	0	1	29
116	1536	32	4	0	28
117	1381	-123	-15	-2	28
118	1391	-113	-14	0	29
119	2305	801	100	17	27
120	1829	325	41	4	28
121	1539	35	4	3	26
122	1633	129	16	0	25
123	1578	74	9	-1	29
124	2413	909	114	21	30
125	1626	122	15	0	25
126	1399	-105	-13	0	22
127	1483	-21	-3	-2	28
128	1788	284	36	2	29
129	1586	82	10	1	26
130	2282	778	97	23	30
131	1557	53	7	-2	26
132	1486	-18	-2	-2	28
133	1381	-123	-15	-3	28
134	1416	-88	-11	0	23
135	1460	-44	-6	-2	28
136	1526	22	3	2	28
137	1468	-36	-5	0	29
138	1366	-138	-17	0	24
139	1605	101	13	0	27
140	1495	-9	-1	0	19
141	1644	140	18	-2	27
142	1598	94	12	2	28
143	1479	-25	-3	1	28
144	1590	86	11	-1	25
145	1854	350	44	2	27
146	1789	285	36	0	28
147	2429	925	116	14	27
148	1537	33	4	4	26
149	1477	-27	-3	-1	27
150	1425	-79	-10	-1	29
151	1887	383	48	3	27
152	2126	622	78	23	31
153	1538	34	4	0	10
154	1756	252	32	0	25
155	1516	12	2	4	22
156	1547	43	5	0	24
157	1431	-73	-9	0	21
158	1713	209	26	-4	23
159	1632	128	16	3	27
160	1667	163	20	1	27
161	1580	76	10	2	28
162	1521	17	2	0	27
163	1529	25	3	6	29
164	1558	54	7	0	26
165	1708	204	26	5	28
166	1731	227	28	3	27
167	1750	246	31	9	18
168	2008	504	63	17	29
169	1686	182	23	7	28
170	1511	7	1	3	29
171	1514	10	1	0	24
172	1676	172	22	0	27
173	1544	40	5	0	24
174	1629	125	16	0	27
175	1581	77	10	5	25
176	1550	46	6	0	26
