Trial	RT	Difference	sDifference	Direction	Confidence

1	1070	-434	-54	0	-11
2	494	-1010	-125	-3	-3
3	150	-1354	-125	-30	23
4	3364	1860	125	-3	-2
5	961	-543	-68	3	-7
6	2394	890	111	7	-6
7	1662	158	20	-5	10
8	1059	-445	-56	3	-13
9	1394	-110	-14	-2	-8
10	2014	510	64	-2	-2
11	1430	-74	-9	2	3
12	1377	-127	-16	3	11
13	2010	506	63	4	-2
14	168	-1336	-125	-30	31
15	2101	597	75	5	-3
16	1842	338	42	6	-3
17	2389	885	111	14	10
18	2167	663	83	-2	6
19	1944	440	55	7	15
20	1655	151	19	9	13
21	1296	-208	-26	3	10
22	1252	-252	-32	3	-5
23	966	-538	-67	0	-3
24	1333	-171	-21	-4	8
25	1100	-404	-51	-1	6
26	1599	95	12	-1	3
27	940	-564	-71	1	11
28	912	-592	-74	-7	6
29	1872	368	46	5	-4
30	1366	-138	-17	3	-1
31	1149	-355	-44	-1	9
32	1234	-270	-34	-2	-5
33	1571	67	8	-3	-5
34	1080	-424	-53	2	-1
35	1622	118	15	2	1
36	1423	-81	-10	1	11
37	1241	-263	-33	2	4
38	1368	-136	-17	-3	5
39	1108	-396	-50	-7	22
40	1903	399	50	15	13
41	1295	-209	-26	-2	7
42	1582	78	10	1	5
43	1463	-41	-5	2	13
44	1451	-53	-7	-2	15
45	944	-560	-70	0	25
46	1032	-472	-59	-12	15
47	1685	181	23	15	21
48	1160	-344	-43	-2	-1
49	1203	-301	-38	-1	2
50	1732	228	29	-1	9
51	1272	-232	-29	-6	11
52	1380	-124	-16	-1	16
53	1483	-21	-3	-1	20
54	1327	-177	-22	1	31
55	1482	-22	-3	-2	18
56	1356	-148	-19	-1	30
57	1306	-198	-25	-1	24
58	1616	112	14	-1	19
59	1301	-203	-25	-7	9
60	3814	2310	125	29	15
61	1246	-258	-32	-1	-2
62	1370	-134	-17	-2	4
63	1902	398	50	13	16
64	1167	-337	-42	-1	20
65	1557	53	7	-2	9
66	1384	-120	-15	1	15
67	1402	-102	-13	1	0
68	1386	-118	-15	-1	23
69	1431	-73	-9	0	21
70	1726	222	28	7	20
71	1188	-316	-40	-1	7
72	1991	487	61	7	-3
73	1536	32	4	-2	10
74	1316	-188	-24	3	-5
75	1229	-275	-34	-3	-1
76	1620	116	15	-1	-6
77	1372	-132	-17	2	3
78	1351	-153	-19	-6	11
79	1623	119	15	-1	15
80	1431	-73	-9	-1	9
81	1322	-182	-23	-1	20
82	1587	83	10	2	0
83	1277	-227	-28	1	10
84	1262	-242	-30	-2	1
85	1744	240	30	3	4
86	1514	10	1	1	6
87	1275	-229	-29	1	10
88	1862	358	45	10	18
89	1506	2	0	-2	17
90	1278	-226	-28	-1	25
91	1578	74	9	-1	9
92	1238	-266	-33	-6	5
93	1600	96	12	3	-3
94	1370	-134	-17	-2	-3
95	1226	-278	-35	-7	9
96	1573	69	9	2	11
97	1478	-26	-3	2	19
98	1259	-245	-31	-2	11
99	1649	145	18	1	8
100	1392	-112	-14	5	4
101	1395	-109	-14	16	10
102	1699	195	24	2	-1
103	1354	-150	-19	2	6
104	1567	63	8	5	-8
105	1321	-183	-23	2	7
106	1566	62	8	3	-7
107	1295	-209	-26	-3	9
108	1492	-12	-2	0	20
109	1366	-138	-17	8	20
110	1450	-54	-7	0	21
111	1724	220	28	0	27
112	1470	-34	-4	-1	11
113	1489	-15	-2	1	31
114	1423	-81	-10	-2	25
115	1512	8	1	0	25
116	1425	-79	-10	1	26
117	1375	-129	-16	1	17
118	1512	8	1	0	16
119	1336	-168	-21	1	25
120	1343	-161	-20	-1	3
121	1271	-233	-29	-1	15
122	1531	27	3	-1	7
123	1369	-135	-17	0	20
124	1561	57	7	5	-9
125	1529	25	3	-1	8
126	1369	-135	-17	-1	23
127	1569	65	8	-2	12
128	1494	-10	-1	0	18
129	1527	23	3	-1	29
130	1461	-43	-5	0	31
131	1488	-16	-2	-1	28
132	1670	166	21	-1	27
133	1600	96	12	2	13
134	1579	75	9	1	25
135	1619	115	14	0	21
136	1649	145	18	1	20
137	1710	206	26	-1	9
138	1905	401	50	2	10
139	1474	-30	-4	2	5
140	1367	-137	-17	21	-7
141	1863	359	45	2	6
142	1585	81	10	2	14
143	1348	-156	-20	1	25
144	1536	32	4	-2	6
145	1704	200	25	9	14
146	1466	-38	-5	1	27
147	1547	43	5	0	28
148	1557	53	7	1	27
149	1416	-88	-11	-2	10
150	1563	59	7	2	6
151	1482	-22	-3	-2	8
152	1508	4	1	0	28
153	1512	8	1	1	28
154	1509	5	1	-1	31
155	1491	-13	-2	0	30
156	1869	365	46	3	31
157	1543	39	5	1	18
158	1455	-49	-6	0	29
159	1493	-11	-1	-1	17
160	1517	13	2	0	19
161	1750	246	31	0	30
162	1426	-78	-10	0	26
163	1549	45	6	0	28
164	1530	26	3	1	19
165	1483	-21	-3	1	22
166	1585	81	10	1	14
167	1473	-31	-4	0	24
168	1899	395	49	4	31
169	1549	45	6	2	24
170	1356	-148	-19	0	27
171	1405	-99	-12	1	26
172	1373	-131	-16	0	5
173	1637	133	17	3	9
174	1500	-4	-1	1	9
175	1493	-11	-1	0	26
176	1478	-26	-3	-1	30
177	1467	-37	-5	0	31
178	1910	406	51	1	23
179	1506	2	0	0	24
180	1588	84	11	0	22
181	1488	-16	-2	-1	21
182	1565	61	8	-1	18
183	1476	-28	-4	1	18
184	1590	86	11	1	12
185	1547	43	5	-1	21
186	1655	151	19	4	13
187	1635	131	16	1	22
188	1675	171	21	-1	15
189	1615	111	14	0	15
190	1647	143	18	3	5
191	1528	24	3	2	20
192	1471	-33	-4	-1	29
193	1471	-33	-4	0	30
194	1603	99	12	0	21
195	1545	41	5	0	20
196	1519	15	2	0	15
197	1420	-84	-11	0	18
198	1593	89	11	0	23
199	1473	-31	-4	0	26
200	2045	541	68	14	21
201	2115	611	76	20	28
202	1499	-5	-1	-2	16
203	1521	17	2	0	24
204	1623	119	15	-1	25
205	1607	103	13	0	22
206	1616	112	14	1	22
207	1399	-105	-13	0	8
208	1681	177	22	-1	29
209	1605	101	13	1	15
210	1421	-83	-10	0	10
211	1828	324	41	0	13
212	1488	-16	-2	2	20
213	1493	-11	-1	0	22
214	1636	132	17	1	27
215	1362	-142	-18	1	24
216	1568	64	8	0	19
217	2060	556	70	2	23
218	1603	99	12	3	11
219	1544	40	5	2	13
220	1479	-25	-3	2	20
221	1600	96	12	0	20
222	1585	81	10	0	20
223	1571	67	8	0	20
224	1506	2	0	1	22
225	1458	-46	-6	0	26
226	1520	16	2	-1	27
227	1446	-58	-7	1	28
228	1498	-6	-1	2	21
229	1478	-26	-3	0	22
230	1564	60	8	0	12
231	1497	-7	-1	1	28
232	1431	-73	-9	0	30
233	1534	30	4	-1	23
234	1453	-51	-6	-1	22
235	1479	-25	-3	2	17
236	1529	25	3	0	23
237	1591	87	11	1	31
238	1423	-81	-10	0	17
239	1531	27	3	1	26
240	1389	-115	-14	4	11
241	1374	-130	-16	-1	18
242	1429	-75	-9	-2	11
243	1560	56	7	-1	22
244	1756	252	32	6	19
245	1412	-92	-12	1	17
246	1651	147	18	-1	12
247	1549	45	6	2	9
248	1510	6	1	1	19
249	1628	124	16	0	27
250	1479	-25	-3	1	16
