Trial	RT	Difference	sDifference	Direction	Confidence

1	3925	2421	125	0	-31
2	440	-1064	-125	-31	16
3	1769	265	33	0	-15
4	657	-847	-106	-15	19
5	1074	-430	-54	0	-7
6	1723	219	27	-14	21
7	1823	319	40	14	8
8	1686	182	23	-4	-4
9	1301	-203	-25	0	-12
10	1431	-73	-9	1	-9
11	1491	-13	-2	-6	14
12	1522	18	2	0	6
13	1644	140	18	0	14
14	1469	-35	-4	7	19
15	1698	194	24	0	-6
16	1426	-78	-10	-1	-3
17	1427	-77	-10	0	15
18	1641	137	17	2	5
19	1559	55	7	2	11
20	1169	-335	-42	-2	8
21	1594	90	11	0	0
22	1839	335	42	4	8
23	1462	-42	-5	-9	11
24	1629	125	16	0	0
25	1643	139	17	0	0
26	1402	-102	-13	0	0
27	1925	421	53	-2	-7
28	1177	-327	-41	-13	4
29	1659	155	19	-1	9
30	1719	215	27	0	-10
31	1696	192	24	1	-4
32	1588	84	11	0	-7
33	1722	218	27	4	2
34	1584	80	10	0	-5
35	1867	363	45	-1	1
36	1595	91	11	14	-17
37	1883	379	47	5	10
38	1556	52	7	7	8
39	1708	204	26	2	2
40	1390	-114	-14	0	-6
41	1699	195	24	0	-7
42	1372	-132	-17	-1	-2
43	1791	287	36	12	8
44	1544	40	5	0	-4
45	1680	176	22	0	4
46	1354	-150	-19	0	-3
47	1524	20	3	0	-5
48	1486	-18	-2	0	0
49	1664	160	20	3	13
50	1262	-242	-30	-2	6
51	1573	69	9	17	17
52	1526	22	3	-1	-2
53	1521	17	2	0	0
54	1731	227	28	0	3
55	1685	181	23	4	-3
56	1448	-56	-7	0	-12
57	1264	-240	-30	-1	-4
58	1819	315	39	3	10
59	1482	-22	-3	0	0
60	1603	99	12	0	4
61	1724	220	28	5	11
62	1407	-97	-12	0	0
63	1363	-141	-18	-4	10
64	1365	-139	-17	0	0
65	1696	192	24	3	1
66	1307	-197	-25	0	0
67	1900	396	50	4	-11
68	1622	118	15	0	-5
69	1535	31	4	0	-2
70	1393	-111	-14	0	3
71	1807	303	38	3	6
72	1530	26	3	-4	8
73	1652	148	19	0	5
74	1500	-4	-1	0	-4
75	1508	4	1	2	10
76	1692	188	24	0	5
77	1575	71	9	2	4
78	1367	-137	-17	-2	10
79	1635	131	16	0	0
80	1704	200	25	9	15
81	1501	-3	0	0	0
82	1746	242	30	2	0
83	1778	274	34	0	0
84	1538	34	4	0	-9
85	1588	84	11	2	4
86	1524	20	3	0	3
87	1478	-26	-3	6	7
88	1516	12	2	0	-11
89	1649	145	18	0	0
90	1312	-192	-24	-1	0
91	1702	198	25	0	-11
92	1277	-227	-28	0	-15
93	1588	84	11	0	-6
94	1341	-163	-20	0	0
95	1490	-14	-2	-4	8
96	1564	60	8	0	0
97	1371	-133	-17	-2	5
98	1494	-10	-1	-1	-4
99	1763	259	32	0	0
100	1516	12	2	0	0
101	1390	-114	-14	0	-16
102	1529	25	3	0	-5
103	1779	275	34	0	0
104	1684	180	23	0	-12
105	1410	-94	-12	1	1
106	1599	95	12	0	-6
107	1647	143	18	0	0
108	1614	110	14	-4	2
109	1608	104	13	0	0
110	1538	34	4	-3	1
111	1611	107	13	0	0
112	1639	135	17	9	8
113	1926	422	53	0	0
114	1278	-226	-28	0	-17
115	1489	-15	-2	-5	-6
116	1974	470	59	6	3
117	1681	177	22	0	-19
118	1699	195	24	7	10
119	1476	-28	-4	1	5
120	1570	66	8	-1	6
121	1422	-82	-10	0	3
122	1493	-11	-1	0	0
123	1680	176	22	1	8
124	1521	17	2	0	0
125	1343	-161	-20	0	8
126	1494	-10	-1	-3	10
127	1583	79	10	0	5
128	1701	197	25	0	-3
129	1635	131	16	3	15
130	1403	-101	-13	0	0
131	1745	241	30	3	4
132	1426	-78	-10	0	0
133	1489	-15	-2	1	2
134	1301	-203	-25	0	0
135	1451	-53	-7	-3	6
136	1568	64	8	0	-3
137	1452	-52	-7	0	0
138	1477	-27	-3	0	3
139	1513	9	1	0	7
140	1489	-15	-2	0	6
141	1402	-102	-13	0	12
142	1614	110	14	2	7
143	1433	-71	-9	0	2
144	1734	230	29	0	0
145	1682	178	22	2	-3
146	1509	5	1	0	-7
147	1496	-8	-1	0	0
148	1625	121	15	2	5
149	1474	-30	-4	0	0
150	1770	266	33	0	0
151	1446	-58	-7	-1	-11
152	1498	-6	-1	2	5
153	1582	78	10	0	0
154	1561	57	7	0	3
155	1486	-18	-2	0	8
156	1757	253	32	0	11
157	1361	-143	-18	0	-7
158	1556	52	7	0	0
159	1677	173	22	0	0
160	1536	32	4	0	0
161	1691	187	23	0	0
162	1662	158	20	0	0
163	1743	239	30	0	-4
164	1611	107	13	1	-15
165	1611	107	13	0	-6
166	1571	67	8	10	6
167	1636	132	17	0	-6
168	1416	-88	-11	-1	-4
169	1499	-5	-1	-2	0
170	1587	83	10	0	0
171	1445	-59	-7	0	0
172	1960	456	57	2	0
173	1725	221	28	0	0
174	1278	-226	-28	0	0
175	1548	44	6	0	0
176	1652	148	19	-4	6
177	1553	49	6	0	0
178	1565	61	8	5	0
179	1647	143	18	0	0
180	1332	-172	-22	2	9
181	1049	-455	-57	0	-12
182	1639	135	17	0	-13
183	1728	224	28	-4	-7
184	1258	-246	-31	0	-19
185	1654	150	19	-5	-11
186	1705	201	25	0	-11
187	1455	-49	-6	0	-8
188	1816	312	39	5	0
189	1534	30	4	-4	-2
190	1462	-42	-5	2	3
191	1448	-56	-7	0	0
192	1434	-70	-9	0	0
