Trial	RT	Difference	sDifference	Direction	Confidence

1	1385	-119	-15	-5	-31
2	1370	-134	-17	1	-6
3	1992	488	61	-2	-5
4	1183	-321	-40	-2	-13
5	1295	-209	-26	-2	-8
6	1382	-122	-15	-2	-10
7	1639	135	17	-1	-2
8	1226	-278	-35	0	-6
9	1587	83	10	-3	-9
10	1454	-50	-6	2	-2
11	1544	40	5	0	10
12	1584	80	10	-3	5
13	1824	320	40	-1	-2
14	1424	-80	-10	-3	7
15	1465	-39	-5	1	5
16	1457	-47	-6	0	-3
17	1395	-109	-14	-1	3
18	1248	-256	-32	2	4
19	1603	99	12	1	-5
20	2086	582	73	1	-2
21	1177	-327	-41	-3	-6
22	1339	-165	-21	-6	2
23	1682	178	22	2	-4
24	1432	-72	-9	-3	-4
25	1944	440	55	-2	12
26	1556	52	7	3	-7
27	1508	4	1	-3	8
28	1712	208	26	3	15
29	1400	-104	-13	-4	15
30	2012	508	64	3	13
31	1327	-177	-22	-2	8
32	1422	-82	-10	-2	11
33	1740	236	30	1	4
34	1458	-46	-6	-1	-3
35	1566	62	8	1	9
36	1395	-109	-14	-1	20
37	1827	323	40	2	5
38	1742	238	30	4	6
39	1713	209	26	1	10
40	1183	-321	-40	2	-8
41	1578	74	9	0	-4
42	1635	131	16	2	2
43	1477	-27	-3	1	10
44	1681	177	22	-1	4
45	1309	-195	-24	-3	-8
46	1888	384	48	-2	4
47	1478	-26	-3	-2	-2
48	1628	124	16	1	-5
49	1622	118	15	0	6
50	1448	-56	-7	1	13
51	1094	-410	-51	-2	-5
52	1728	224	28	-2	-6
53	1541	37	5	-4	-4
54	1623	119	15	2	2
55	1344	-160	-20	-1	7
56	1295	-209	-26	-2	10
57	1733	229	29	8	12
58	1793	289	36	3	9
59	1626	122	15	1	7
60	1573	69	9	2	7
61	1378	-126	-16	1	16
62	1457	-47	-6	1	-4
63	1646	142	18	2	6
64	1413	-91	-11	3	6
65	1179	-325	-41	3	2
66	1602	98	12	-2	-8
67	1712	208	26	5	-4
68	1292	-212	-27	5	-2
69	1163	-341	-43	1	4
70	1577	73	9	2	-6
71	1356	-148	-19	-1	-3
72	1298	-206	-26	-2	-3
73	1400	-104	-13	-1	3
74	1586	82	10	1	4
75	1422	-82	-10	-1	3
76	1496	-8	-1	-3	5
77	1219	-285	-36	-1	7
78	1483	-21	-3	-3	-4
79	1489	-15	-2	-1	-1
80	1542	38	5	1	10
81	1357	-147	-18	1	20
82	1877	373	47	1	13
83	1421	-83	-10	-2	-4
84	1821	317	40	4	4
85	1356	-148	-19	-1	12
86	1678	174	22	5	11
