Trial	RT	Difference	sDifference	Direction	Confidence

1	1012	-492	-62	0	-31
2	1963	459	57	-6	18
3	1305	-199	-25	-5	8
4	699	-805	-101	-5	23
5	1401	-103	-13	-9	13
6	782	-722	-90	-20	-7
7	1433	-71	-9	6	19
8	1134	-370	-46	0	23
9	1412	-92	-12	0	14
10	1505	1	0	0	24
11	1058	-446	-56	-5	20
12	1902	398	50	4	10
13	1301	-203	-25	0	-5
14	1384	-120	-15	0	8
15	1273	-231	-29	-15	12
16	1542	38	5	-10	17
17	1677	173	22	0	28
18	1376	-128	-16	-7	24
19	1467	-37	-5	0	13
20	1538	34	4	0	24
21	2075	571	71	0	28
22	1784	280	35	0	21
23	1082	-422	-53	-8	13
24	1642	138	17	0	-6
25	1404	-100	-13	-4	13
26	1690	186	23	0	14
27	1553	49	6	0	10
28	1324	-180	-23	-6	17
29	1255	-249	-31	0	7
30	1222	-282	-35	-7	22
31	1350	-154	-19	0	28
32	1648	144	18	0	26
33	2031	527	66	0	20
34	1071	-433	-54	-20	-20
35	1819	315	39	0	0
36	1955	451	56	0	10
37	1337	-167	-21	-8	-5
38	1148	-356	-45	-3	4
39	1624	120	15	0	-7
40	1405	-99	-12	0	8
41	1113	-391	-49	0	7
42	1486	-18	-2	-6	13
43	1298	-206	-26	0	-6
44	1576	72	9	7	4
45	1565	61	8	-5	15
46	1177	-327	-41	-15	12
47	1414	-90	-11	0	27
48	1182	-322	-40	-6	23
49	1700	196	25	0	30
50	1835	331	41	-5	11
51	3017	1513	125	30	29
52	971	-533	-67	0	16
53	1655	151	19	0	8
54	1633	129	16	0	10
55	1201	-303	-38	-14	19
56	1329	-175	-22	-5	9
57	1922	418	52	0	30
58	1883	379	47	0	20
59	1557	53	7	7	11
60	1362	-142	-18	0	27
61	1222	-282	-35	-7	15
62	1622	118	15	0	0
63	1660	156	20	0	14
64	1645	141	18	0	28
65	1519	15	2	-5	30
66	1817	313	39	0	30
67	1543	39	5	-4	21
68	1303	-201	-25	6	6
69	1629	125	16	-4	5
70	1158	-346	-43	-16	4
71	1478	-26	-3	0	22
72	1467	-37	-5	0	31
73	1569	65	8	0	26
74	1557	53	7	0	31
75	1575	71	9	0	28
76	1570	66	8	0	30
77	1491	-13	-2	0	31
78	1783	279	35	0	30
79	1535	31	4	-3	10
80	1453	-51	-6	0	30
81	1478	-26	-3	0	30
82	1500	-4	-1	0	31
83	1299	-205	-26	3	23
84	1515	11	1	0	30
85	1360	-144	-18	0	30
86	1333	-171	-21	0	28
87	1656	152	19	0	31
88	1287	-217	-27	-3	0
89	1286	-218	-27	-11	30
90	1288	-216	-27	0	29
91	1500	-4	-1	4	15
92	1956	452	57	0	28
93	1734	230	29	0	22
94	1242	-262	-33	0	29
95	1395	-109	-14	0	28
96	1349	-155	-19	0	29
97	1285	-219	-27	-3	20
98	1664	160	20	0	24
99	1372	-132	-17	-3	29
100	1439	-65	-8	0	30
101	1488	-16	-2	6	24
102	1248	-256	-32	0	25
103	1541	37	5	0	20
104	1418	-86	-11	0	30
105	1441	-63	-8	0	30
106	1392	-112	-14	0	29
107	1460	-44	-6	0	30
108	1360	-144	-18	0	29
109	1498	-6	-1	0	28
110	1400	-104	-13	-1	22
111	1202	-302	-38	-3	28
112	1684	180	23	0	9
113	1409	-95	-12	-7	21
114	1414	-90	-11	0	29
115	1303	-201	-25	0	27
116	1500	-4	-1	-14	21
117	1206	-298	-37	0	28
118	1456	-48	-6	0	28
119	1396	-108	-14	0	26
120	1342	-162	-20	0	31
121	1347	-157	-20	0	30
122	1324	-180	-23	-5	31
123	1391	-113	-14	0	31
124	1323	-181	-23	-4	18
125	1499	-5	-1	0	29
126	1353	-151	-19	0	30
127	1425	-79	-10	0	31
128	1597	93	12	0	31
129	1374	-130	-16	0	31
130	1318	-186	-23	0	28
131	1452	-52	-7	-5	4
132	1442	-62	-8	0	0
133	1475	-29	-4	0	31
134	1409	-95	-12	0	29
135	1435	-69	-9	0	28
136	1538	34	4	0	30
137	1585	81	10	0	28
138	1488	-16	-2	0	19
139	1263	-241	-30	0	29
140	1365	-139	-17	0	26
141	1423	-81	-10	6	14
142	1410	-94	-12	0	30
143	1276	-228	-29	0	25
144	1441	-63	-8	0	25
145	1404	-100	-13	0	28
146	1154	-350	-44	0	30
147	1479	-25	-3	0	20
148	1451	-53	-7	0	29
149	1339	-165	-21	0	31
150	1438	-66	-8	0	31
151	1462	-42	-5	0	31
152	1413	-91	-11	0	31
153	1464	-40	-5	0	31
154	1320	-184	-23	0	31
155	1487	-17	-2	0	31
156	1472	-32	-4	6	17
157	1477	-27	-3	0	30
158	1402	-102	-13	0	30
159	1335	-169	-21	0	26
160	1443	-61	-8	0	31
161	1566	62	8	0	31
162	1559	55	7	0	30
163	1571	67	8	1	30
164	1499	-5	-1	0	29
165	1431	-73	-9	0	31
166	1513	9	1	0	31
167	1734	230	29	0	31
168	1431	-73	-9	-3	-11
169	1275	-229	-29	0	15
170	1633	129	16	0	-15
171	1825	321	40	0	-5
172	1426	-78	-10	0	-7
173	1381	-123	-15	7	9
174	1415	-89	-11	0	19
175	1621	117	15	0	30
176	1453	-51	-6	4	30
177	1361	-143	-18	0	31
178	1462	-42	-5	0	30
179	1417	-87	-11	0	30
180	1324	-180	-23	0	29
181	1508	4	1	0	19
182	1466	-38	-5	0	-10
183	1240	-264	-33	-8	31
184	1400	-104	-13	0	31
185	1448	-56	-7	0	25
186	1520	16	2	0	29
187	1556	52	7	0	29
188	1629	125	16	0	0
189	1518	14	2	0	14
190	1715	211	26	0	31
191	1364	-140	-18	0	29
192	1621	117	15	0	30
193	1497	-7	-1	-7	8
194	1316	-188	-24	0	29
195	1582	78	10	0	29
196	1688	184	23	0	-5
