Trial	RT	Difference	sDifference	Direction	Confidence

1	2516	1012	125	0	-6
2	1659	155	19	7	0
3	601	-903	-113	-9	0
4	1402	-102	-13	7	-1
5	1756	252	32	16	13
6	1462	-42	-5	-2	-2
7	1534	30	4	-1	2
8	1104	-400	-50	2	2
9	1629	125	16	-2	-7
10	1006	-498	-62	-3	3
11	1660	156	20	17	15
12	1222	-282	-35	-2	-2
13	1153	-351	-44	16	6
14	1706	202	25	4	2
15	934	-570	-71	-3	-3
16	1598	94	12	3	5
17	1417	-87	-11	3	2
18	1242	-262	-33	-6	3
19	1472	-32	-4	-6	2
20	1183	-321	-40	-2	3
21	1500	-4	-1	0	3
22	1474	-30	-4	5	-3
23	1307	-197	-25	-5	8
24	1295	-209	-26	-6	9
25	2333	829	104	11	14
26	515	-989	-124	-12	-10
27	456	-1048	-125	-14	11
28	302	-1202	-125	-31	31
29	2224	720	90	11	10
30	1154	-350	-44	5	5
31	1465	-39	-5	7	9
32	1407	-97	-12	-2	11
33	1439	-65	-8	7	-4
34	1210	-294	-37	0	-4
35	1378	-126	-16	-2	4
36	1297	-207	-26	-7	7
37	1309	-195	-24	24	12
38	1380	-124	-16	-1	3
39	811	-693	-87	4	6
40	1627	123	15	-6	-15
41	1735	231	29	0	2
42	1591	87	11	-3	-3
43	1680	176	22	-6	6
44	1707	203	25	3	2
45	1395	-109	-14	5	6
46	1323	-181	-23	1	12
47	2087	583	73	11	8
48	1195	-309	-39	4	-12
49	1138	-366	-46	8	-8
50	1476	-28	-4	0	-4
51	2047	543	68	15	14
52	1721	217	27	3	-6
53	1420	-84	-11	9	-13
54	1621	117	15	-1	-6
55	1379	-125	-16	0	3
56	2021	517	65	3	4
57	1049	-455	-57	-4	-5
58	1599	95	12	-5	-10
59	2657	1153	125	20	19
60	1049	-455	-57	2	7
61	1594	90	11	6	4
62	1738	234	29	-2	-4
63	2043	539	67	29	15
64	1655	151	19	16	-7
65	1551	47	6	-4	4
66	1540	36	5	-3	4
67	1489	-15	-2	2	3
68	1739	235	29	6	-6
69	1754	250	31	8	-8
70	2824	1320	125	5	-8
71	1433	-71	-9	-2	3
72	1344	-160	-20	-6	-7
73	1399	-105	-13	6	-7
