Trial	RT	Difference	sDifference	Direction	Confidence

1	561	-943	-118	-18	-26
2	1724	220	28	-14	-27
3	711	-793	-99	-17	22
4	945	-559	-70	-6	7
5	896	-608	-76	-7	9
6	1322	-182	-23	-5	17
7	1254	-250	-31	-4	8
8	1294	-210	-26	-3	26
9	1176	-328	-41	8	-3
10	1355	-149	-19	5	-7
11	1464	-40	-5	4	-7
12	1285	-219	-27	-4	-6
13	862	-642	-80	-14	6
14	1623	119	15	7	7
15	1306	-198	-25	-1	26
16	1280	-224	-28	-5	7
17	1624	120	15	4	5
18	1475	-29	-4	4	22
19	1670	166	21	-5	21
20	1170	-334	-42	-4	-4
21	1265	-239	-30	-9	13
22	1587	83	10	4	19
23	1544	40	5	-3	17
24	1404	-100	-13	0	27
25	1378	-126	-16	6	9
26	1405	-99	-12	-7	23
27	1736	232	29	4	14
28	1334	-170	-21	-3	17
29	1482	-22	-3	-4	7
30	1549	45	6	5	17
31	1250	-254	-32	-2	25
32	1257	-247	-31	-5	3
33	1416	-88	-11	8	10
34	1498	-6	-1	3	11
35	1402	-102	-13	-1	-4
36	1495	-9	-1	3	23
37	1409	-95	-12	-4	-6
38	2101	597	75	9	11
39	1269	-235	-29	-3	-9
40	1399	-105	-13	-3	9
41	1399	-105	-13	-3	20
42	1407	-97	-12	-3	20
43	1902	398	50	7	10
44	1147	-357	-45	-4	12
45	1519	15	2	11	-9
46	1396	-108	-14	4	20
47	1722	218	27	13	-8
48	1140	-364	-46	-4	-7
49	1427	-77	-10	-6	20
50	1525	21	3	9	18
51	1555	51	6	-4	-10
52	1404	-100	-13	7	25
53	1427	-77	-10	10	-4
54	1691	187	23	3	22
55	1834	330	41	9	-4
56	1366	-138	-17	-3	8
57	1630	126	16	20	-4
58	1607	103	13	5	5
59	1780	276	35	5	-5
60	1418	-86	-11	11	11
61	1680	176	22	3	23
62	1597	93	12	-2	23
63	1856	352	44	12	-6
64	1574	70	9	-6	-4
65	1490	-14	-2	-1	26
66	1373	-131	-16	-3	26
67	1510	6	1	6	7
68	1313	-191	-24	-3	25
69	1399	-105	-13	2	-6
70	1290	-214	-27	-3	-4
71	1645	141	18	5	-4
72	1679	175	22	7	6
73	1514	10	1	17	-6
74	1555	51	6	-3	-7
75	1353	-151	-19	-2	10
76	1795	291	36	2	-7
77	1084	-420	-53	-6	-5
78	1352	-152	-19	-4	7
79	1523	19	2	4	14
80	1320	-184	-23	-3	-5
81	1495	-9	-1	6	12
82	1347	-157	-20	3	18
83	1406	-98	-12	5	6
84	1401	-103	-13	-4	15
85	1695	191	24	4	-10
86	1328	-176	-22	5	-14
87	1590	86	11	11	-4
88	1919	415	52	11	12
89	1323	-181	-23	-5	-5
90	1294	-210	-26	-3	20
91	1889	385	48	6	4
92	1403	-101	-13	-3	-12
93	1777	273	34	21	-7
94	1253	-251	-31	-1	17
95	1857	353	44	-6	-4
96	1486	-18	-2	3	-7
97	1375	-129	-16	3	5
98	1622	118	15	9	-4
99	1620	116	15	6	17
100	1728	224	28	-3	8
101	1209	-295	-37	-7	-11
102	1588	84	11	-5	-4
103	1438	-66	-8	3	-9
104	1565	61	8	-3	16
105	1573	69	9	2	10
106	1573	69	9	6	17
107	1810	306	38	16	-6
108	1426	-78	-10	-3	14
109	1746	242	30	6	4
110	1641	137	17	-3	-4
111	1384	-120	-15	-3	-6
112	1444	-60	-8	-2	14
113	1482	-22	-3	3	12
114	1372	-132	-17	3	14
115	1543	39	5	5	-4
116	1543	39	5	2	13
117	1380	-124	-16	-1	19
118	1472	-32	-4	-4	18
119	1405	-99	-12	-1	22
120	1562	58	7	-2	-2
121	1542	38	5	-7	-3
122	1203	-301	-38	-1	14
123	1480	-24	-3	9	-3
124	1340	-164	-21	-3	15
125	1618	114	14	-3	9
126	1245	-259	-32	-7	-3
127	1767	263	33	-3	9
128	1653	149	19	3	-5
129	1735	231	29	-3	6
130	1266	-238	-30	-2	-4
131	1414	-90	-11	16	-12
132	1338	-166	-21	-3	8
133	1600	96	12	-2	6
134	1556	52	7	6	-3
135	1691	187	23	-2	-2
136	1675	171	21	2	-11
137	1427	-77	-10	13	-3
138	1639	135	17	-3	-4
139	1622	118	15	4	-11
140	1790	286	36	14	6
141	1591	87	11	4	-4
142	1472	-32	-4	-2	7
143	1344	-160	-20	3	9
144	1661	157	20	3	9
145	1208	-296	-37	2	-4
146	1602	98	12	3	-5
147	1596	92	12	4	-6
148	1567	63	8	-5	8
149	1504	0	0	-3	7
150	1674	170	21	-3	3
151	1584	80	10	-1	9
152	1337	-167	-21	-7	-4
153	1721	217	27	5	7
154	1621	117	15	4	-5
155	1699	195	24	9	-4
156	1657	153	19	-3	-15
157	1638	134	17	3	-7
158	1350	-154	-19	2	8
159	1437	-67	-8	-3	5
160	1219	-285	-36	3	14
161	1696	192	24	14	-6
162	1811	307	38	-2	-7
163	1648	144	18	5	-4
164	1583	79	10	3	-3
165	1421	-83	-10	-2	10
166	1568	64	8	6	8
167	1359	-145	-18	5	14
168	1530	26	3	2	-6
169	1168	-336	-42	-2	9
170	1675	171	21	2	8
171	1441	-63	-8	-3	-1
172	1492	-12	-2	3	15
173	1637	133	17	-2	13
174	1721	217	27	3	15
175	1191	-313	-39	-3	12
176	1398	-106	-13	-3	-4
177	1670	166	21	12	-5
178	1208	-296	-37	-9	-4
179	1607	103	13	4	13
180	1418	-86	-11	4	18
181	1457	-47	-6	-3	5
182	1495	-9	-1	4	12
183	1541	37	5	-2	15
184	1411	-93	-12	-2	18
185	1355	-149	-19	2	4
186	1766	262	33	15	-8
187	1356	-148	-19	-3	-2
188	1513	9	1	-2	-3
189	1949	445	56	8	7
190	1335	-169	-21	6	-8
191	1608	104	13	0	6
192	1743	239	30	11	-4
193	1673	169	21	11	-8
194	1485	-19	-2	6	-4
195	1521	17	2	4	12
196	1341	-163	-20	-2	21
197	1497	-7	-1	4	-4
198	1570	66	8	-2	19
199	1519	15	2	2	18
