Trial	RT	Difference	sDifference	Direction	Confidence

1	622	-882	-110	-3	-19
2	1328	-176	-22	-2	-16
3	2072	568	71	2	-9
4	905	-599	-75	5	-7
5	2559	1055	125	10	-9
6	1727	223	28	5	-11
7	1561	57	7	4	-9
8	1435	-69	-9	-3	9
9	1716	212	27	1	14
10	1633	129	16	4	9
11	1828	324	41	11	7
12	1237	-267	-33	-5	-2
13	1507	3	0	11	-8
14	1353	-151	-19	3	12
15	1362	-142	-18	3	13
16	1763	259	32	6	20
17	1284	-220	-28	-2	14
18	1352	-152	-19	5	12
19	1527	23	3	13	15
20	1219	-285	-36	-8	15
21	1570	66	8	4	10
22	1646	142	18	4	10
23	1534	30	4	3	10
24	1538	34	4	3	24
25	1697	193	24	3	21
26	1561	57	7	2	12
27	1001	-503	-63	-3	8
28	2237	733	92	12	10
29	1665	161	20	6	-8
30	1862	358	45	21	-9
31	1619	115	14	6	-9
32	1666	162	20	4	-5
33	1822	318	40	8	8
34	869	-635	-79	-16	12
35	856	-648	-81	-6	14
36	1525	21	3	5	8
37	1716	212	27	3	22
38	1514	10	1	4	21
39	1732	228	29	4	17
40	1631	127	16	5	7
41	1876	372	47	-4	8
42	2077	573	72	8	-7
43	809	-695	-87	-15	-9
44	1212	-292	-37	-9	-13
45	1261	-243	-30	-8	-5
46	1211	-293	-37	-5	6
47	1312	-192	-24	1	-3
48	1534	30	4	3	10
49	1634	130	16	0	12
50	1605	101	13	6	16
51	1331	-173	-22	-11	-31
52	1112	-392	-49	-7	-18
53	1326	-178	-22	3	-9
54	1728	224	28	0	-4
55	1764	260	33	-5	4
56	1562	58	7	-9	-6
57	1616	112	14	6	7
58	1944	440	55	8	-5
59	1484	-20	-3	5	9
60	1736	232	29	8	18
61	1470	-34	-4	4	-4
62	2681	1177	125	23	11
63	1728	224	28	9	22
64	1208	-296	-37	1	15
65	1753	249	31	18	18
66	1617	113	14	3	11
67	1395	-109	-14	3	19
68	1773	269	34	5	23
69	1239	-265	-33	-2	13
70	1551	47	6	4	14
71	1699	195	24	5	25
72	1593	89	11	8	21
73	1333	-171	-21	-3	16
74	1628	124	16	7	19
75	1160	-344	-43	6	-11
76	1520	16	2	2	12
77	1566	62	8	5	10
78	1364	-140	-18	2	24
79	1771	267	33	7	26
80	1428	-76	-10	8	16
81	1634	130	16	7	6
82	1711	207	26	-2	11
83	1744	240	30	6	25
84	1528	24	3	7	-3
85	1326	-178	-22	-3	14
86	1179	-325	-41	4	17
87	1572	68	9	5	14
88	1525	21	3	4	27
89	1899	395	49	8	25
90	1449	-55	-7	13	21
91	1203	-301	-38	6	27
92	1476	-28	-4	7	-7
93	1399	-105	-13	0	27
94	1365	-139	-17	6	26
95	1790	286	36	5	28
96	2276	772	97	26	20
97	1426	-78	-10	6	17
98	1210	-294	-37	5	11
99	1376	-128	-16	4	6
100	1566	62	8	10	-5
101	1530	26	3	31	18
102	1092	-412	-52	-6	6
103	1390	-114	-14	5	13
104	1537	33	4	6	13
105	2214	710	89	21	19
106	1492	-12	-2	4	8
107	1237	-267	-33	3	16
108	1530	26	3	4	15
109	1415	-89	-11	5	21
110	1298	-206	-26	3	23
111	1262	-242	-30	3	18
112	1304	-200	-25	7	15
113	1574	70	9	-4	15
114	1176	-328	-41	-11	10
115	1447	-57	-7	5	14
116	1336	-168	-21	0	14
117	1562	58	7	6	-12
118	1904	400	50	-5	-5
119	1444	-60	-8	3	-12
120	1331	-173	-22	1	5
121	1458	-46	-6	0	14
122	1247	-257	-32	3	19
123	1388	-116	-15	3	19
124	1445	-59	-7	0	19
125	1363	-141	-18	3	27
126	1487	-17	-2	-2	12
127	1439	-65	-8	3	15
128	1453	-51	-6	3	26
129	1451	-53	-7	4	24
130	1637	133	17	-2	18
131	1258	-246	-31	-4	19
132	1661	157	20	0	21
133	1406	-98	-12	3	11
134	1564	60	8	2	-6
135	1291	-213	-27	3	-7
136	1539	35	4	4	11
137	1469	-35	-4	-3	16
138	1481	-23	-3	-3	15
139	1392	-112	-14	4	21
140	1752	248	31	3	18
141	1711	207	26	5	14
142	1298	-206	-26	-2	15
143	1526	22	3	0	18
144	1336	-168	-21	10	20
145	1639	135	17	3	16
146	1332	-172	-22	4	12
147	1657	153	19	3	18
148	2025	521	65	16	6
149	1458	-46	-6	-2	12
150	2661	1157	125	31	16
151	1752	248	31	31	16
152	1395	-109	-14	5	15
153	1285	-219	-27	0	7
154	1580	76	10	2	6
155	1376	-128	-16	-2	14
156	1479	-25	-3	1	21
157	1510	6	1	5	19
158	1447	-57	-7	-2	22
159	1619	115	14	0	10
160	1425	-79	-10	1	13
161	1539	35	4	-2	12
162	2042	538	67	21	22
163	1417	-87	-11	4	17
164	1520	16	2	0	10
165	1522	18	2	0	12
166	1144	-360	-45	-6	11
167	1913	409	51	5	15
168	1606	102	13	1	10
169	1506	2	0	0	20
170	1439	-65	-8	0	27
171	1177	-327	-41	2	17
172	1799	295	37	2	7
173	1501	-3	0	2	-5
174	1389	-115	-14	10	15
175	1542	38	5	4	22
176	1357	-147	-18	2	21
177	1429	-75	-9	2	18
178	1451	-53	-7	-2	17
179	1324	-180	-23	-3	16
180	1957	453	57	0	4
181	1428	-76	-10	2	-8
182	1640	136	17	0	13
183	1527	23	3	-2	11
184	1477	-27	-3	0	8
185	1424	-80	-10	4	22
186	1445	-59	-7	9	-7
187	1571	67	8	0	9
188	1769	265	33	9	20
189	1538	34	4	3	5
190	1679	175	22	0	-3
