Trial	RT	Difference	sDifference	Direction	Confidence

1	2320	816	102	-9	7
2	2685	1181	125	3	18
3	3732	2228	125	9	-5
4	5013	3509	125	5	24
5	4288	2784	125	5	31
6	7096	5592	125	20	14
7	4529	3025	125	-22	-15
8	5033	3529	125	15	-15
9	5353	3849	125	-21	19
10	7657	6153	125	10	-18
11	8554	7050	125	-12	-23
12	3514	2010	125	14	-15
13	5015	3511	125	30	30
14	4107	2603	125	6	-9
15	5385	3881	125	1	-3
16	6780	5276	125	17	8
17	1993	489	61	-15	-15
18	3943	2439	125	-16	-12
19	3263	1759	125	-30	29
20	5426	3922	125	-9	10
21	3843	2339	125	-13	13
22	6084	4580	125	7	-8
23	3894	2390	125	13	-16
24	6969	5465	125	17	6
25	10445	8941	125	30	9
26	4613	3109	125	-8	-20
27	3056	1552	125	7	12
28	10628	9124	125	22	-12
29	7108	5604	125	18	-6
30	7384	5880	125	-25	22
31	3964	2460	125	-15	20
32	4366	2862	125	0	0
33	9139	7635	125	15	-10
34	6083	4579	125	-29	20
35	6758	5254	125	7	-8
36	4692	3188	125	-15	16
37	3066	1562	125	-31	-31
38	6737	5233	125	30	29
39	4515	3011	125	20	-23
40	1235	-269	-34	-14	15
41	6373	4869	125	-14	15
42	6348	4844	125	-20	18
43	3299	1795	125	-13	14
44	4414	2910	125	-26	-23
45	6455	4951	125	-17	15
46	6174	4670	125	14	30
47	4018	2514	125	-5	25
48	4356	2852	125	-15	16
49	6559	5055	125	0	12
50	3541	2037	125	8	-16
51	4789	3285	125	14	8
52	6130	4626	125	29	29
53	6629	5125	125	31	26
54	3881	2377	125	-14	-15
55	4645	3141	125	16	23
56	7019	5515	125	-27	-27
57	6376	4872	125	-14	16
58	5943	4439	125	-14	30
59	7793	6289	125	16	-15
60	4989	3485	125	16	30
61	4038	2534	125	12	-10
62	4879	3375	125	17	30
63	3111	1607	125	0	0
64	7992	6488	125	-14	-22
65	4036	2532	125	17	19
66	3020	1516	125	-14	16
67	3239	1735	125	-14	16
68	4130	2626	125	15	-14
69	1993	489	61	-30	28
70	3943	2439	125	30	28
71	3766	2262	125	29	30
72	5217	3713	125	31	30
73	3601	2097	125	31	26
74	3603	2099	125	29	24
75	2154	650	81	27	25
76	3186	1682	125	-31	-30
77	4233	2729	125	-31	-30
78	2520	1016	125	-30	-29
79	3353	1849	125	-29	-29
80	1965	461	58	-10	-10
81	2969	1465	125	-11	-11
82	4715	3211	125	15	16
83	4713	3209	125	28	25
84	6498	4994	125	-15	-15
85	4802	3298	125	-15	-14
86	8276	6772	125	15	14
87	2448	944	118	15	31
88	4067	2563	125	31	28
89	5286	3782	125	16	20
90	9745	8241	125	30	28
91	5333	3829	125	-16	-15
92	3134	1630	125	-14	18
93	4555	3051	125	20	21
94	4808	3304	125	-31	-29
95	5648	4144	125	15	16
96	3494	1990	125	-14	-15
97	4267	2763	125	15	15
98	12414	10910	125	31	13
99	1089	-415	-52	-30	29
100	971	-533	-67	-25	29
101	405	-1099	-125	-29	31
102	570	-934	-117	-15	19
103	2690	1186	125	-16	16
104	1457	-47	-6	-16	30
105	1297	-207	-26	-15	31
106	2155	651	81	-14	29
107	1363	-141	-18	-15	17
108	813	-691	-86	-18	24
109	4346	2842	125	-13	11
110	1619	115	14	-11	18
111	1560	56	7	28	-9
112	803	-701	-88	18	-9
113	1786	282	35	30	30
114	2139	635	79	30	31
115	926	-578	-72	26	31
116	982	-522	-65	29	31
117	520	-984	-123	30	30
118	2002	498	62	15	29
119	1725	221	28	-8	28
120	826	-678	-85	-5	30
121	2045	541	68	-7	14
122	1166	-338	-42	-15	-14
123	708	-796	-100	-28	18
124	763	-741	-93	-27	26
125	1323	-181	-23	0	0
126	1563	59	7	0	0
127	1534	30	4	0	0
128	1747	243	30	0	0
129	1648	144	18	0	0
130	1831	327	41	0	0
131	3357	1853	125	0	0
132	1690	186	23	-14	15
133	2159	655	82	-8	14
134	2242	738	92	-16	17
135	1316	-188	-24	-14	14
136	2446	942	118	-4	31
137	1449	-55	-7	0	0
138	1830	326	41	0	0
139	3060	1556	125	0	0
140	3607	2103	125	0	0
141	1828	324	41	-7	24
142	2136	632	79	8	6
143	2469	965	121	8	10
144	2769	1265	125	9	30
145	995	-509	-64	-28	30
146	1745	241	30	-20	30
147	1538	34	4	-13	16
148	3008	1504	125	-11	4
149	1288	-216	-27	-7	8
150	1146	-358	-45	-7	13
151	871	-633	-79	-20	16
152	568	-936	-117	-26	24
153	3450	1946	125	-11	23
154	2647	1143	125	-13	15
