Trial	RT	Difference	sDifference	Direction	Confidence

1	1606	102	13	0	-14
2	1298	-206	-26	5	11
3	1707	203	25	8	0
4	2054	550	69	31	30
5	403	-1101	-125	-10	13
6	1503	-1	0	4	17
7	1426	-78	-10	-1	16
8	1345	-159	-20	0	8
9	1756	252	32	-2	8
10	1915	411	51	31	31
11	2931	1427	125	31	30
12	1240	-264	-33	0	7
13	2381	877	110	8	5
14	1581	77	10	-6	4
15	1394	-110	-14	-4	0
16	1867	363	45	9	8
17	1616	112	14	4	29
18	1561	57	7	4	31
19	1359	-145	-18	-3	13
20	1243	-261	-33	0	6
21	1269	-235	-29	7	-10
22	743	-761	-95	-14	8
23	1622	118	15	3	4
24	491	-1013	-125	-31	30
25	1331	-173	-22	2	31
26	1810	306	38	2	-13
27	2016	512	64	5	17
28	1492	-12	-2	-2	10
29	1493	-11	-1	0	-5
30	1672	168	21	0	0
31	1840	336	42	0	14
32	1793	289	36	0	13
33	1464	-40	-5	10	-11
34	1421	-83	-10	-2	14
35	1309	-195	-24	0	17
36	1310	-194	-24	3	15
37	1718	214	27	-2	-17
38	1934	430	54	7	19
39	1821	317	40	2	9
40	1617	113	14	6	15
41	1434	-70	-9	-4	14
42	1342	-162	-20	3	-14
43	1199	-305	-38	-2	-21
44	2943	1439	125	30	30
45	1463	-41	-5	0	8
46	672	-832	-104	-20	16
47	1617	113	14	0	11
48	1771	267	33	-4	-15
49	581	-923	-115	-21	19
50	1603	99	12	5	-13
51	1303	-201	-25	2	-13
52	1396	-108	-14	-1	9
53	1796	292	37	4	13
54	1572	68	9	0	15
55	1361	-143	-18	1	27
56	1599	95	12	1	-5
57	1329	-175	-22	13	7
58	1417	-87	-11	2	5
59	2003	499	62	0	5
60	1876	372	47	0	-15
61	2036	532	67	-3	-31
62	2412	908	114	31	31
63	1542	38	5	-3	12
64	1994	490	61	5	15
65	1606	102	13	7	6
66	1835	331	41	1	-14
67	1343	-161	-20	0	6
68	1952	448	56	0	-12
69	2228	724	91	13	13
70	1293	-211	-26	-1	11
71	1830	326	41	17	29
72	1199	-305	-38	-2	26
73	1619	115	14	3	24
74	1180	-324	-41	-5	18
75	1411	-93	-12	0	0
76	1689	185	23	0	-9
77	1853	349	44	3	3
78	1822	318	40	8	-3
79	1595	91	11	-1	-16
80	1892	388	49	2	-11
81	2020	516	65	0	9
82	1373	-131	-16	-6	8
83	1816	312	39	0	-14
84	2371	867	108	15	17
85	1679	175	22	0	0
86	1986	482	60	6	16
87	1727	223	28	0	19
88	1737	233	29	3	30
89	1352	-152	-19	-5	21
90	1754	250	31	-1	30
91	1830	326	41	-2	0
92	1879	375	47	6	12
93	1915	411	51	7	25
94	1407	-97	-12	0	-5
95	1429	-75	-9	0	12
96	1717	213	27	-2	29
97	1657	153	19	-4	19
98	707	-797	-100	-25	31
99	1433	-71	-9	2	21
100	1715	211	26	0	0
101	1490	-14	-2	5	-8
102	1123	-381	-48	-29	13
103	2548	1044	125	27	31
104	1613	109	14	3	-20
105	1497	-7	-1	3	15
106	1532	28	4	0	8
107	1406	-98	-12	0	18
108	1611	107	13	4	19
109	1336	-168	-21	0	17
110	1657	153	19	0	15
111	1603	99	12	0	9
112	1538	34	4	2	31
113	1262	-242	-30	-5	31
114	1375	-129	-16	-7	3
115	1641	137	17	5	29
116	1315	-189	-24	-2	18
117	1674	170	21	0	14
118	1399	-105	-13	2	30
119	1632	128	16	4	-15
120	1845	341	43	19	30
121	1479	-25	-3	0	18
122	1636	132	17	1	15
123	1524	20	3	0	21
124	1384	-120	-15	-2	19
125	1598	94	12	5	-6
126	1698	194	24	-1	-6
127	1739	235	29	3	-14
128	2075	571	71	9	14
129	1457	-47	-6	0	7
130	1630	126	16	-9	-21
131	1746	242	30	4	6
132	1328	-176	-22	-4	9
133	1582	78	10	2	15
134	1469	-35	-4	2	16
135	1567	63	8	3	11
136	1496	-8	-1	0	14
137	1650	146	18	0	7
138	1696	192	24	-7	9
139	1646	142	18	5	-3
140	1970	466	58	3	-31
141	2058	554	69	28	30
142	1519	15	2	0	12
143	1951	447	56	6	15
144	1627	123	15	3	18
145	1252	-252	-32	0	14
146	2180	676	85	4	-10
147	1254	-250	-31	0	-14
148	2083	579	72	30	28
149	1588	84	11	0	20
150	1763	259	32	0	17
151	1377	-127	-16	12	-11
152	3104	1600	125	29	31
153	1701	197	25	4	13
154	1436	-68	-9	0	18
155	1831	327	41	3	13
156	1544	40	5	6	28
157	1367	-137	-17	0	-7
158	1357	-147	-18	2	-16
159	1576	72	9	0	18
160	1651	147	18	0	20
161	1834	330	41	0	-17
162	1759	255	32	26	21
163	1554	50	6	0	14
164	1664	160	20	2	14
165	1543	39	5	0	19
166	1538	34	4	0	26
167	1704	200	25	17	29
168	1196	-308	-39	-4	21
169	1616	112	14	0	20
170	1310	-194	-24	0	13
171	1463	-41	-5	-1	12
172	1606	102	13	3	19
173	1392	-112	-14	0	15
174	1959	455	57	2	17
175	1531	27	3	26	0
176	2346	842	105	-20	-23
177	1634	130	16	6	6
178	1445	-59	-7	0	9
179	1214	-290	-36	-2	12
180	1739	235	29	0	15
181	1398	-106	-13	0	0
182	1536	32	4	3	13
183	1418	-86	-11	0	15
184	1572	68	9	0	25
185	1411	-93	-12	-2	15
186	1443	-61	-8	0	21
187	1763	259	32	5	17
188	1476	-28	-4	0	30
189	1499	-5	-1	0	7
190	1834	330	41	8	29
191	1494	-10	-1	0	31
192	1630	126	16	0	30
193	1519	15	2	-6	30
194	1557	53	7	0	27
195	2181	677	85	7	27
196	1471	-33	-4	0	18
197	1606	102	13	-3	24
198	1611	107	13	0	-10
199	1392	-112	-14	5	15
200	1845	341	43	4	-19
201	1636	132	17	31	26
202	1660	156	20	7	-10
203	2038	534	67	6	-26
204	2147	643	80	11	-23
205	1386	-118	-15	0	19
206	1230	-274	-34	0	20
207	1691	187	23	0	10
208	1428	-76	-10	0	-13
209	1968	464	58	11	-11
210	1441	-63	-8	2	-14
211	1329	-175	-22	0	15
