Trial	RT	Difference	sDifference	Direction	Confidence

1	5113	3609	125	0	-30
2	4771	3267	125	30	30
3	762	-742	-93	0	31
4	1740	236	30	0	22
5	604	-900	-113	2	11
6	3158	1654	125	-2	-7
7	1511	7	1	-5	-5
8	1172	-332	-42	0	13
9	1264	-240	-30	1	18
10	1609	105	13	1	12
11	1363	-141	-18	1	17
12	453	-1051	-125	-6	24
13	1622	118	15	2	22
14	1622	118	15	-4	13
15	1022	-482	-60	-2	20
16	1537	33	4	-1	31
17	1121	-383	-48	-1	25
18	1694	190	24	1	27
19	1561	57	7	0	29
20	1567	63	8	0	28
21	1389	-115	-14	0	29
22	1338	-166	-21	0	29
23	1693	189	24	0	30
24	1529	25	3	0	14
25	1318	-186	-23	0	27
26	1363	-141	-18	0	28
27	2110	606	76	2	25
28	1093	-411	-51	-1	23
29	1512	8	1	0	15
30	1248	-256	-32	0	31
31	1389	-115	-14	1	25
32	1583	79	10	0	22
33	1234	-270	-34	0	29
34	1272	-232	-29	-1	11
35	1571	67	8	0	15
36	1328	-176	-22	0	31
37	1443	-61	-8	0	30
38	1469	-35	-4	0	30
39	1179	-325	-41	0	28
40	1447	-57	-7	0	18
41	1166	-338	-42	0	25
42	1689	185	23	0	5
43	1273	-231	-29	0	0
44	1152	-352	-44	-3	19
45	1641	137	17	0	26
46	1045	-459	-57	-1	26
47	2273	769	96	-2	29
48	1479	-25	-3	-1	-9
49	1303	-201	-25	0	20
50	1467	-37	-5	0	19
51	2570	1066	125	0	-28
52	727	-777	-97	0	-31
53	1954	450	56	0	29
54	1698	194	24	4	0
55	1676	172	22	0	-1
56	2121	617	77	0	5
57	1316	-188	-24	0	13
58	2063	559	70	0	13
59	1707	203	25	0	-12
60	2663	1159	125	4	14
61	928	-576	-72	-2	17
62	1570	66	8	0	6
63	1955	451	56	1	6
64	1789	285	36	0	7
65	1215	-289	-36	0	16
66	1564	60	8	-1	8
67	906	-598	-75	-2	6
68	1709	205	26	2	7
69	1734	230	29	0	31
70	1638	134	17	0	26
71	1636	132	17	2	18
72	1007	-497	-62	-2	24
73	1636	132	17	1	31
74	1467	-37	-5	0	27
75	1119	-385	-48	0	23
76	1998	494	62	4	29
77	1357	-147	-18	21	-17
78	1953	449	56	0	16
