Trial	RT	Difference	sDifference	Direction	Confidence

1	739	-765	-96	13	20
2	599	-905	-113	-8	11
3	1391	-113	-14	-3	2
4	1430	-74	-9	0	4
5	507	-997	-125	-27	28
6	2195	691	86	3	12
7	726	-778	-97	0	5
8	1544	40	5	-2	5
9	1278	-226	-28	-5	7
10	1681	177	22	0	12
11	833	-671	-84	-6	8
12	1662	158	20	2	6
13	1071	-433	-54	-3	7
14	2094	590	74	0	-16
15	927	-577	-72	-12	9
16	892	-612	-77	-9	8
17	2181	677	85	0	-17
18	1149	-355	-44	3	-25
19	949	-555	-69	-16	18
20	1190	-314	-39	2	11
21	967	-537	-67	0	-15
22	1278	-226	-28	3	-11
23	965	-539	-67	-10	14
24	1687	183	23	0	-13
25	1008	-496	-62	1	-11
26	1224	-280	-35	-3	-18
27	1724	220	28	4	8
28	1050	-454	-57	-3	-15
29	1462	-42	-5	2	-9
30	1245	-259	-32	1	5
31	1297	-207	-26	0	0
32	1830	326	41	9	18
33	1210	-294	-37	3	11
34	688	-816	-102	-27	25
35	1214	-290	-36	0	-25
36	1391	-113	-14	-3	16
37	1170	-334	-42	-1	8
38	1563	59	7	14	20
39	1537	33	4	7	5
40	1940	436	55	4	13
41	1303	-201	-25	17	13
42	1280	-224	-28	15	26
43	1397	-107	-13	4	4
44	2453	949	119	7	14
45	1007	-497	-62	-4	10
46	1658	154	19	-4	-10
47	1471	-33	-4	4	-16
48	1525	21	3	2	18
49	1291	-213	-27	8	-7
50	1948	444	56	2	10
51	1165	-339	-42	-3	-11
52	1523	19	2	2	-26
53	1504	0	0	-4	9
54	1466	-38	-5	-2	-10
55	933	-571	-71	-7	17
56	1670	166	21	-6	11
57	1470	-34	-4	4	-11
58	1812	308	39	1	13
59	1444	-60	-8	0	-12
60	1607	103	13	-4	15
61	1468	-36	-5	4	11
62	2166	662	83	7	17
63	1300	-204	-26	-4	0
64	860	-644	-81	-26	26
65	1994	490	61	-2	0
66	2299	795	99	18	27
67	789	-715	-89	-5	18
68	1719	215	27	0	-7
69	1028	-476	-60	-2	13
70	1353	-151	-19	0	-10
71	1865	361	45	0	0
72	1442	-62	-8	4	-5
73	1282	-222	-28	-5	13
74	1953	449	56	-4	23
75	1430	-74	-9	17	14
76	1210	-294	-37	0	-5
77	2097	593	74	5	-4
78	1095	-409	-51	7	-8
79	1259	-245	-31	-6	-7
80	2012	508	64	2	14
81	1448	-56	-7	0	-16
82	2199	695	87	-4	-25
83	1328	-176	-22	-5	17
84	1609	105	13	3	3
85	1578	74	9	-2	9
86	1778	274	34	-3	-12
87	1187	-317	-40	0	-8
88	748	-756	-95	-19	12
89	685	-819	-102	-29	23
90	2014	510	64	3	15
91	123	-1381	-125	-31	30
92	2055	551	69	4	-23
93	1393	-111	-14	5	12
94	2063	559	70	-18	10
95	1790	286	36	6	11
96	2096	592	74	18	24
97	1128	-376	-47	0	-16
