Trial	RT	Difference	sDifference	Direction	Confidence

1	1656	152	19	0	-31
2	1213	-291	-36	-2	-11
3	1372	-132	-17	3	-9
4	1642	138	17	4	-2
5	1117	-387	-48	-2	7
6	1702	198	25	-4	0
7	1487	-17	-2	-2	11
8	1433	-71	-9	0	17
9	1558	54	7	0	9
10	1611	107	13	0	21
11	1815	311	39	6	14
12	1469	-35	-4	-3	10
13	1353	-151	-19	-3	20
14	1616	112	14	0	21
15	1617	113	14	0	12
16	1546	42	5	-3	16
17	1558	54	7	0	11
18	1415	-89	-11	0	19
19	1573	69	9	-5	0
20	1536	32	4	21	23
21	1698	194	24	1	8
22	1634	130	16	0	-8
23	1294	-210	-26	0	16
24	2120	616	77	5	0
25	1295	-209	-26	-1	-9
26	1588	84	11	3	-7
27	1328	-176	-22	-4	12
28	1575	71	9	-4	27
29	1404	-100	-13	-2	7
30	1548	44	6	0	10
31	1487	-17	-2	0	23
32	1716	212	27	-3	17
33	1553	49	6	0	0
34	1461	-43	-5	-3	-6
35	2016	512	64	5	-9
36	1743	239	30	-8	8
37	1513	9	1	0	8
38	1441	-63	-8	0	23
39	1839	335	42	5	4
40	1403	-101	-13	0	0
41	1421	-83	-10	0	14
42	1447	-57	-7	0	17
43	1581	77	10	0	14
44	1448	-56	-7	0	16
45	1396	-108	-14	0	25
46	1549	45	6	0	14
47	1620	116	15	4	9
48	1631	127	16	0	27
49	1562	58	7	-3	-6
50	1675	171	21	-3	24
51	1694	190	24	0	-13
52	1596	92	12	0	-5
53	1681	177	22	0	10
54	1325	-179	-22	-4	15
55	1484	-20	-3	0	12
56	1308	-196	-25	0	14
57	1494	-10	-1	0	-5
58	1514	10	1	0	18
59	1833	329	41	4	9
60	1577	73	9	-5	21
61	1705	201	25	0	9
62	1550	46	6	0	14
63	1617	113	14	0	0
64	1560	56	7	0	-5
65	1543	39	5	0	19
66	1510	6	1	0	24
67	1705	201	25	0	14
68	1657	153	19	3	0
69	1572	68	9	0	25
70	1551	47	6	0	15
71	1488	-16	-2	0	20
72	1578	74	9	0	24
73	1487	-17	-2	-5	10
74	1439	-65	-8	0	15
75	1448	-56	-7	0	-4
76	1512	8	1	5	18
77	1477	-27	-3	0	23
78	1529	25	3	0	31
79	1574	70	9	0	29
80	1476	-28	-4	0	27
81	1521	17	2	2	28
82	1624	120	15	0	30
83	1690	186	23	3	20
84	1599	95	12	0	22
85	1443	-61	-8	0	30
86	1716	212	27	-1	22
87	1542	38	5	0	26
88	1541	37	5	0	24
89	1542	38	5	0	27
90	1502	-2	0	-1	23
91	1485	-19	-2	0	29
92	1735	231	29	0	19
93	1497	-7	-1	0	29
94	1628	124	16	23	-18
95	1688	184	23	4	19
96	1593	89	11	0	28
97	1598	94	12	0	24
98	1870	366	46	11	18
99	1355	-149	-19	-2	23
100	1466	-38	-5	0	10
101	2067	563	70	10	0
102	1407	-97	-12	0	22
103	1523	19	2	0	12
104	1501	-3	0	0	17
105	1678	174	22	0	19
106	1495	-9	-1	0	23
107	1388	-116	-15	-4	17
108	1595	91	11	-2	8
109	1574	70	9	0	13
110	1672	168	21	0	13
111	1493	-11	-1	0	0
112	1506	2	0	0	17
113	1443	-61	-8	0	0
114	1560	56	7	0	14
115	1800	296	37	0	24
116	1467	-37	-5	0	15
117	1569	65	8	6	11
118	1479	-25	-3	0	16
119	1551	47	6	0	28
120	1596	92	12	0	14
121	1583	79	10	3	26
122	1496	-8	-1	0	15
123	1564	60	8	0	29
124	1452	-52	-7	0	30
125	1471	-33	-4	0	29
126	1590	86	11	0	0
127	1484	-20	-3	0	29
128	1690	186	23	0	26
129	1520	16	2	0	20
130	1579	75	9	-5	15
131	1559	55	7	0	23
132	1540	36	5	0	28
133	1611	107	13	0	25
134	1650	146	18	0	29
135	1495	-9	-1	0	27
136	1498	-6	-1	0	30
137	1464	-40	-5	0	26
138	1545	41	5	0	20
139	1683	179	22	0	21
140	1550	46	6	0	29
141	1497	-7	-1	0	29
142	1531	27	3	0	28
143	1634	130	16	0	10
144	1552	48	6	0	24
145	1549	45	6	7	26
146	1458	-46	-6	0	29
147	1493	-11	-1	0	22
148	1677	173	22	6	-6
149	1903	399	50	8	17
150	1684	180	23	0	15
151	1831	327	41	1	-9
152	1612	108	14	0	-11
153	1582	78	10	2	4
154	1527	23	3	0	14
155	1637	133	17	0	11
156	1615	111	14	-5	0
157	1550	46	6	0	1
158	1548	44	6	0	23
159	1595	91	11	0	22
160	1523	19	2	0	14
161	1605	101	13	0	23
162	1509	5	1	0	0
163	1595	91	11	3	19
164	1597	93	12	0	29
165	1557	53	7	0	19
166	1587	83	10	0	20
167	1597	93	12	0	29
168	1569	65	8	0	15
169	1386	-118	-15	0	0
170	1600	96	12	0	19
171	1513	9	1	-4	15
172	1360	-144	-18	0	29
173	1533	29	4	0	23
174	1486	-18	-2	0	21
175	1609	105	13	0	31
176	1564	60	8	0	21
177	1665	161	20	13	27
178	1540	36	5	0	14
179	1565	61	8	0	0
180	1808	304	38	0	16
181	1900	396	50	0	18
182	1498	-6	-1	0	13
