Trial	RT	Difference	sDifference	Direction	Confidence

1	1105	-399	-50	4	-24
2	1131	-373	-47	-5	-14
3	1392	-112	-14	-5	-3
4	1487	-17	-2	0	5
5	1729	225	28	0	10
6	2027	523	65	1	14
7	2276	772	97	13	15
8	1449	-55	-7	0	-8
9	1328	-176	-22	-2	5
10	1285	-219	-27	-2	25
11	1382	-122	-15	-2	25
12	1401	-103	-13	0	18
13	1368	-136	-17	-1	21
14	1425	-79	-10	0	26
15	1863	359	45	0	26
16	2284	780	98	0	22
17	2022	518	65	0	22
18	1660	156	20	-2	12
19	1004	-500	-63	-3	15
20	2281	777	97	4	-11
21	2125	621	78	-1	11
22	567	-937	-117	-26	28
23	262	-1242	-125	-28	26
24	2538	1034	125	29	31
25	1293	-211	-26	-1	17
26	1226	-278	-35	-3	12
27	1606	102	13	-1	13
28	1356	-148	-19	1	16
29	1582	78	10	3	2
30	1408	-96	-12	-4	-14
31	1301	-203	-25	-2	4
32	1018	-486	-61	-4	10
33	1583	79	10	7	-6
34	1403	-101	-13	-2	-4
35	1525	21	3	3	4
36	1544	40	5	0	-2
37	1081	-423	-53	-5	15
38	1583	79	10	-2	6
39	2118	614	77	-2	9
40	1392	-112	-14	-2	6
41	1242	-262	-33	-2	4
42	2232	728	91	19	10
43	1200	-304	-38	-2	15
44	1033	-471	-59	-5	-3
45	593	-911	-114	-23	23
46	2649	1145	125	-10	9
47	1400	-104	-13	-5	5
48	1814	310	39	-5	7
49	1980	476	60	-4	7
50	2069	565	71	-2	6
51	1240	-264	-33	-3	6
52	1577	73	9	-3	9
53	1198	-306	-38	-3	5
54	1198	-306	-38	2	-10
55	1644	140	18	4	-3
56	1435	-69	-9	0	13
57	1309	-195	-24	-2	24
58	1776	272	34	-1	8
59	1639	135	17	-4	5
60	1631	127	16	-4	16
61	871	-633	-79	-1	20
62	1578	74	9	-2	6
63	1107	-397	-50	-3	7
64	1273	-231	-29	-3	5
65	943	-561	-70	-10	25
66	2548	1044	125	10	10
67	1196	-308	-39	-4	12
68	1130	-374	-47	-3	18
69	1362	-142	-18	-5	15
70	1358	-146	-18	27	17
71	1541	37	5	-4	7
72	1055	-449	-56	-7	10
73	1576	72	9	-5	12
74	656	-848	-106	-13	13
75	2314	810	101	13	22
76	892	-612	-77	-2	15
77	1522	18	2	-4	13
78	1633	129	16	0	22
79	1655	151	19	-3	28
80	1243	-261	-33	-2	10
81	1800	296	37	-8	18
82	1311	-193	-24	13	-4
83	2354	850	106	0	-11
84	2240	736	92	31	31
85	1219	-285	-36	2	23
86	1403	-101	-13	7	-2
87	2100	596	75	10	-5
88	1477	-27	-3	11	-14
89	1129	-375	-47	-5	13
90	2438	934	117	-10	11
91	2473	969	121	5	-2
92	1507	3	0	0	15
93	1677	173	22	0	5
94	3307	1803	125	7	8
95	2057	553	69	4	-6
96	1257	-247	-31	-1	8
97	1370	-134	-17	-5	8
98	1732	228	29	16	21
99	1240	-264	-33	-5	5
100	3103	1599	125	-5	7
101	1974	470	59	-2	5
102	1493	-11	-1	-2	11
103	1535	31	4	3	-2
104	1451	-53	-7	-4	22
105	1358	-146	-18	2	27
106	855	-649	-81	-10	10
107	263	-1241	-125	-29	30
108	2270	766	96	-4	7
109	1963	459	57	6	9
110	1360	-144	-18	-4	7
111	1643	139	17	-2	12
112	1385	-119	-15	3	-11
113	1545	41	5	-2	2
114	2566	1062	125	16	14
115	985	-519	-65	-3	0
116	960	-544	-68	-3	3
117	919	-585	-73	-8	7
118	376	-1128	-125	-18	13
119	1692	188	24	-7	7
120	1132	-372	-47	0	-10
121	1344	-160	-20	-2	7
122	1252	-252	-32	-7	10
123	1283	-221	-28	-3	5
124	1340	-164	-21	5	-9
125	916	-588	-74	-5	5
126	1205	-299	-37	7	-2
127	1541	37	5	-2	-15
128	1108	-396	-50	-2	8
129	1701	197	25	10	-6
130	1609	105	13	-3	10
131	888	-616	-77	-16	-27
132	1650	146	18	3	17
133	1303	-201	-25	0	8
134	1958	454	57	-4	8
135	1000	-504	-63	-6	-6
136	1132	-372	-47	-2	19
137	1740	236	30	-5	9
138	1305	-199	-25	-3	7
139	1675	171	21	-4	-5
140	689	-815	-102	-28	8
141	2756	1252	125	0	9
142	1340	-164	-21	-4	5
143	1196	-308	-39	10	12
144	1612	108	14	4	10
145	2217	713	89	-7	11
146	2087	583	73	-2	8
147	1442	-62	-8	-1	5
148	1212	-292	-37	-6	-8
149	1304	-200	-25	-2	10
150	1337	-167	-21	0	29
151	1332	-172	-22	-3	4
152	822	-682	-85	-1	12
153	1472	-32	-4	2	-2
154	1336	-168	-21	-1	20
155	2326	822	103	-2	19
156	1565	61	8	-1	30
157	2903	1399	125	-4	9
158	1432	-72	-9	-4	6
159	1914	410	51	-2	5
160	1383	-121	-15	4	-30
161	2281	777	97	-3	6
162	996	-508	-64	-6	7
163	1090	-414	-52	-11	9
164	1575	71	9	-7	11
165	893	-611	-76	-23	26
166	1687	183	23	4	8
167	1897	393	49	-5	-3
168	2172	668	84	-4	8
169	484	-1020	-125	-27	19
170	1967	463	58	4	8
171	2891	1387	125	6	5
172	1238	-266	-33	-7	7
173	1236	-268	-34	-4	7
174	878	-626	-78	6	-5
175	1061	-443	-55	5	-5
176	1083	-421	-53	6	-3
177	978	-526	-66	-5	4
178	2851	1347	125	-11	8
179	1104	-400	-50	-6	-15
180	2648	1144	125	-5	10
181	1319	-185	-23	0	21
182	2141	637	80	0	0
183	318	-1186	-125	-30	29
184	1595	91	11	-2	4
185	2513	1009	125	-5	7
186	10266	8762	125	30	30
187	1602	98	12	-3	18
188	2519	1015	125	-2	12
189	1300	-204	-26	6	-15
190	1503	-1	0	-4	-4
191	2145	641	80	0	30
192	2913	1409	125	2	24
193	772	-732	-92	-15	28
194	2065	561	70	-2	20
195	2851	1347	125	-4	10
196	2076	572	72	-4	9
197	932	-572	-72	-2	5
198	2361	857	107	6	26
199	1850	346	43	5	22
200	1371	-133	-17	9	20
201	1240	-264	-33	-10	18
202	742	-762	-95	-7	21
203	1445	-59	-7	-4	-2
204	1345	-159	-20	-2	16
205	1421	-83	-10	-3	5
206	1262	-242	-30	-2	19
207	1751	247	31	2	8
208	1306	-198	-25	-8	8
209	1282	-222	-28	8	-9
210	2190	686	86	-6	10
211	763	-741	-93	-15	30
212	715	-789	-99	5	12
213	1625	121	15	-4	9
214	1346	-158	-20	7	-9
215	1327	-177	-22	-2	-6
216	1754	250	31	-2	0
217	1540	36	5	-4	1
218	2042	538	67	-4	6
219	1352	-152	-19	-2	6
220	2216	712	89	-2	5
221	2161	657	82	-3	3
222	1971	467	58	-2	7
223	1829	325	41	-4	13
224	629	-875	-109	-7	18
225	3102	1598	125	-5	14
226	1486	-18	-2	-2	5
227	1126	-378	-47	0	8
228	1084	-420	-53	-25	22
229	2169	665	83	10	15
230	1213	-291	-36	-5	10
231	1178	-326	-41	-2	12
232	1440	-64	-8	10	28
233	1516	12	2	0	5
234	902	-602	-75	-15	26
235	807	-697	-87	-5	16
236	1819	315	39	4	-3
237	1692	188	24	-2	10
238	1334	-170	-21	4	-6
239	1644	140	18	-1	15
240	1017	-487	-61	-2	6
241	602	-902	-113	8	-7
242	1816	312	39	17	9
243	1267	-237	-30	-2	1
244	2096	592	74	-1	9
245	1340	-164	-21	-1	6
246	1295	-209	-26	1	17
247	2469	965	121	-1	4
248	873	-631	-79	-7	9
249	2345	841	105	-3	6
250	1954	450	56	-3	6
