Trial	RT	Difference	sDifference	Direction	Confidence

1	1101	-403	-50	-19	-30
2	764	-740	-93	-8	-12
3	1086	-418	-52	-9	-21
4	1095	-409	-51	-7	-2
5	1204	-300	-38	-2	6
6	1153	-351	-44	-2	4
7	1067	-437	-55	-3	12
8	1644	140	18	8	4
9	1338	-166	-21	-1	2
10	1312	-192	-24	5	9
11	1336	-168	-21	3	4
12	1728	224	28	-3	14
13	1541	37	5	2	3
14	1639	135	17	-1	14
15	1529	25	3	2	17
16	1667	163	20	0	26
17	1740	236	30	1	14
18	1153	-351	-44	-1	16
19	2038	534	67	-6	13
20	1275	-229	-29	2	21
21	1459	-45	-6	1	23
22	1077	-427	-53	-9	30
23	1271	-233	-29	-4	7
24	1164	-340	-43	1	-3
25	1605	101	13	-3	14
26	1294	-210	-26	-4	20
27	1031	-473	-59	-1	26
28	1674	170	21	-2	3
29	1416	-88	-11	-4	19
30	1350	-154	-19	4	24
31	1595	91	11	-4	26
32	1177	-327	-41	2	25
33	1524	20	3	1	28
34	1289	-215	-27	0	24
35	1803	299	37	2	25
36	1037	-467	-58	0	23
37	1512	8	1	0	25
38	1336	-168	-21	0	26
39	1439	-65	-8	1	27
40	1258	-246	-31	0	29
41	1604	100	13	3	4
42	1676	172	22	1	25
43	1195	-309	-39	0	21
44	1441	-63	-8	0	27
45	1386	-118	-15	0	25
46	1734	230	29	0	23
47	1252	-252	-32	1	27
48	1501	-3	0	0	26
49	1749	245	31	1	27
50	1343	-161	-20	0	-7
51	820	-684	-86	-22	-21
52	1760	256	32	-3	-7
53	1410	-94	-12	2	-5
54	1532	28	4	0	0
55	1330	-174	-22	0	23
56	1455	-49	-6	-1	22
57	1057	-447	-56	-2	25
58	2023	519	65	4	23
59	1545	41	5	-2	10
60	1620	116	15	1	17
61	1436	-68	-9	1	21
62	1342	-162	-20	0	16
63	1116	-388	-49	-2	18
64	1455	-49	-6	0	27
65	1248	-256	-32	-1	27
66	1343	-161	-20	-1	25
67	1334	-170	-21	0	22
68	1671	167	21	0	21
69	1786	282	35	0	24
70	1349	-155	-19	0	28
71	1587	83	10	1	22
72	1339	-165	-21	1	27
73	1772	268	34	0	4
74	1504	0	0	0	19
75	1149	-355	-44	0	21
76	1898	394	49	-1	21
77	1674	170	21	-1	24
78	1099	-405	-51	0	24
79	1496	-8	-1	1	24
80	1283	-221	-28	1	27
81	1804	300	38	1	26
82	1412	-92	-12	2	-9
83	487	-1017	-125	-27	31
84	1672	168	21	-1	8
85	1481	-23	-3	0	2
86	1270	-234	-29	0	25
87	1185	-319	-40	-1	27
88	1579	75	9	0	26
89	1186	-318	-40	0	13
90	1294	-210	-26	1	25
91	1645	141	18	0	25
92	1350	-154	-19	1	25
93	1358	-146	-18	-2	23
94	1897	393	49	-1	16
95	1175	-329	-41	0	3
96	1805	301	38	0	27
97	1410	-94	-12	0	24
98	1787	283	35	21	31
99	1378	-126	-16	-1	12
100	1401	-103	-13	1	24
101	1647	143	18	-2	-31
102	1552	48	6	-1	-17
103	1924	420	53	-1	-2
104	830	-674	-84	-8	-3
105	1535	31	4	-4	-4
106	1567	63	8	0	0
107	1538	34	4	7	4
108	1750	246	31	0	-2
109	1939	435	54	3	-14
110	1808	304	38	0	-8
111	1629	125	16	-1	-7
112	1871	367	46	2	-2
113	1671	167	21	0	-3
114	1739	235	29	9	11
115	1531	27	3	1	7
116	1448	-56	-7	0	15
117	1421	-83	-10	-4	2
118	1451	-53	-7	-2	7
119	1065	-439	-55	0	10
120	1488	-16	-2	-1	22
121	1629	125	16	2	21
122	1254	-250	-31	0	23
123	1556	52	7	0	11
124	1494	-10	-1	0	15
125	1328	-176	-22	0	22
126	1710	206	26	3	17
127	1475	-29	-4	0	8
128	999	-505	-63	-2	23
129	1523	19	2	0	21
130	1160	-344	-43	-3	27
131	1798	294	37	0	16
132	1687	183	23	0	25
133	1432	-72	-9	0	16
134	1299	-205	-26	0	22
135	1183	-321	-40	-3	23
136	1399	-105	-13	0	13
137	1684	180	23	4	9
138	1312	-192	-24	0	13
139	1681	177	22	-2	21
140	994	-510	-64	1	18
141	1398	-106	-13	-1	18
142	1330	-174	-22	-4	20
143	1283	-221	-28	-1	21
144	1337	-167	-21	-1	19
145	1564	60	8	-2	20
146	1110	-394	-49	0	9
147	1289	-215	-27	0	23
148	1921	417	52	2	17
149	1482	-22	-3	-2	20
150	1462	-42	-5	0	27
151	2468	964	121	15	-30
152	1270	-234	-29	-10	-28
153	1555	51	6	-2	-19
154	1509	5	1	-2	0
155	1218	-286	-36	0	-3
156	1339	-165	-21	-3	-4
157	1238	-266	-33	0	8
158	1357	-147	-18	1	-2
159	2203	699	87	-1	8
160	1194	-310	-39	-1	-5
161	1314	-190	-24	-7	-6
162	1267	-237	-30	-3	13
163	1494	-10	-1	-2	15
164	1246	-258	-32	6	11
165	1373	-131	-16	-2	13
166	1320	-184	-23	-1	14
167	1179	-325	-41	-11	11
168	1525	21	3	-3	15
169	1153	-351	-44	-1	12
170	1916	412	52	-2	13
171	996	-508	-64	-1	14
172	1486	-18	-2	-2	12
173	1383	-121	-15	-1	20
174	1553	49	6	0	20
175	1262	-242	-30	0	15
176	1502	-2	0	-1	19
177	1481	-23	-3	0	21
178	1190	-314	-39	0	21
179	1032	-472	-59	0	22
180	1495	-9	-1	-7	12
181	1331	-173	-22	0	19
182	966	-538	-67	-1	17
183	1168	-336	-42	-2	15
184	1385	-119	-15	-4	14
185	1170	-334	-42	-2	20
186	1222	-282	-35	-2	13
187	1815	311	39	-2	13
188	1189	-315	-39	-1	17
189	1642	138	17	1	12
190	1261	-243	-30	0	17
191	1248	-256	-32	0	17
192	1494	-10	-1	-2	17
193	1296	-208	-26	-1	16
194	1368	-136	-17	23	-16
195	1490	-14	-2	-1	20
196	1048	-456	-57	0	22
197	1527	23	3	0	22
198	1184	-320	-40	0	24
199	1575	71	9	-1	12
200	1410	-94	-12	0	18
201	1530	26	3	3	-24
202	1488	-16	-2	0	-5
203	1118	-386	-48	-1	4
204	1082	-422	-53	-3	2
205	1819	315	39	4	-5
206	1308	-196	-25	-3	-9
207	1115	-389	-49	0	-12
208	1256	-248	-31	-3	-5
209	1271	-233	-29	-3	0
210	1498	-6	-1	-2	11
211	1169	-335	-42	-1	4
212	1425	-79	-10	-1	13
213	1046	-458	-57	0	9
214	1217	-287	-36	-3	-4
215	1381	-123	-15	-3	7
216	1402	-102	-13	-2	11
217	1093	-411	-51	-4	11
218	1186	-318	-40	1	16
219	1471	-33	-4	-2	17
220	1162	-342	-43	-1	19
221	904	-600	-75	-5	22
222	1303	-201	-25	-3	22
223	1540	36	5	-3	15
224	1412	-92	-12	-3	9
225	1292	-212	-27	0	2
226	1348	-156	-20	-2	15
227	998	-506	-63	0	19
228	1075	-429	-54	-2	13
229	1600	96	12	-3	-11
230	1358	-146	-18	0	9
231	1675	171	21	-2	10
232	997	-507	-63	-1	12
233	1288	-216	-27	-2	14
234	1385	-119	-15	-1	14
235	1415	-89	-11	2	16
236	1362	-142	-18	-2	19
237	1133	-371	-46	-10	15
238	942	-562	-70	-10	14
239	581	-923	-115	-5	22
240	1397	-107	-13	-10	11
241	1083	-421	-53	-1	13
242	1274	-230	-29	0	18
243	1636	132	17	-2	19
244	1083	-421	-53	-3	17
245	1248	-256	-32	-3	15
246	1452	-52	-7	0	23
247	1287	-217	-27	12	-9
248	1742	238	30	-1	25
249	1467	-37	-5	-5	16
250	1400	-104	-13	0	22
