Trial	RT	Difference	sDifference	Direction	Confidence

1	1127	-377	-47	-3	7
2	1708	204	26	0	-2
3	992	-512	-64	-3	9
4	1401	-103	-13	-3	-10
5	1329	-175	-22	-7	10
6	1270	-234	-29	-4	7
7	1835	331	41	0	0
8	892	-612	-77	-12	3
9	2006	502	63	5	4
10	1298	-206	-26	0	7
11	1223	-281	-35	9	-10
12	1125	-379	-47	-2	-10
13	1431	-73	-9	0	-8
14	1297	-207	-26	0	0
15	1318	-186	-23	4	4
16	2235	731	91	15	23
17	865	-639	-80	0	6
18	1099	-405	-51	-8	11
19	1223	-281	-35	0	-4
20	1403	-101	-13	5	0
21	1529	25	3	-4	-6
22	1004	-500	-63	-4	-15
23	1528	24	3	-6	6
24	982	-522	-65	-3	6
25	1465	-39	-5	-6	-4
26	1542	38	5	0	17
27	1290	-214	-27	-5	11
28	1340	-164	-21	0	11
29	1412	-92	-12	-5	19
30	1380	-124	-16	-1	8
31	1693	189	24	0	19
32	1152	-352	-44	-3	7
33	1427	-77	-10	-3	-7
34	1343	-161	-20	0	10
35	1384	-120	-15	-3	9
36	1314	-190	-24	-4	23
37	1560	56	7	4	-9
38	1314	-190	-24	-6	-9
39	1760	256	32	0	8
40	1614	110	14	-6	-12
41	1548	44	6	7	-6
42	1515	11	1	10	-10
43	1371	-133	-17	-3	13
44	1632	128	16	7	26
45	1330	-174	-22	-6	-15
46	1305	-199	-25	-13	16
47	1751	247	31	0	0
48	1425	-79	-10	-10	19
49	1423	-81	-10	0	14
50	1850	346	43	0	15
51	892	-612	-77	-21	18
52	1670	166	21	0	6
53	1272	-232	-29	-6	13
54	1470	-34	-4	0	12
55	1614	110	14	9	19
56	1505	1	0	-6	-13
57	1630	126	16	-7	-17
58	1677	173	22	10	-12
59	1955	451	56	0	-10
60	1464	-40	-5	0	-7
61	1570	66	8	-6	9
62	1335	-169	-21	0	18
63	1369	-135	-17	-12	6
64	1521	17	2	0	14
65	1350	-154	-19	-5	9
66	1698	194	24	0	8
67	1494	-10	-1	0	-11
68	1542	38	5	6	-8
69	1430	-74	-9	-6	15
70	1476	-28	-4	0	14
71	1559	55	7	-5	10
72	1432	-72	-9	0	14
73	1629	125	16	-8	15
74	1781	277	35	2	6
75	1450	-54	-7	4	-3
76	1301	-203	-25	-2	5
77	1587	83	10	-1	-7
78	1509	5	1	-4	3
79	1248	-256	-32	-4	7
80	1428	-76	-10	-4	11
81	1475	-29	-4	0	13
82	1439	-65	-8	0	22
83	1584	80	10	0	15
84	1679	175	22	-3	14
85	1547	43	5	-4	-10
86	1282	-222	-28	-5	-12
87	1599	95	12	4	-10
88	1055	-449	-56	-10	10
89	1590	86	11	0	18
90	1596	92	12	0	-5
91	1735	231	29	5	14
92	1529	25	3	3	10
93	1297	-207	-26	-1	-8
94	1382	-122	-15	-2	-6
95	1361	-143	-18	0	9
96	1950	446	56	-6	11
97	1729	225	28	7	-14
98	1330	-174	-22	-4	8
99	1510	6	1	0	7
100	1323	-181	-23	-3	12
101	1359	-145	-18	6	17
102	2007	503	63	5	9
103	1428	-76	-10	-6	12
104	1860	356	45	16	19
105	1457	-47	-6	2	14
106	1235	-269	-34	0	0
107	1607	103	13	0	-14
108	1300	-204	-26	-4	-5
109	1597	93	12	4	-14
110	1382	-122	-15	-2	-12
111	1579	75	9	-3	-6
112	1249	-255	-32	1	-3
113	1784	280	35	-2	-11
114	1297	-207	-26	-5	-6
