Trial	RT	Difference	sDifference	Direction	Confidence

1	1803	299	37	0	-31
2	2097	593	74	7	14
3	1177	-327	-41	0	-12
4	1297	-207	-26	3	10
5	1741	237	30	-3	6
6	1599	95	12	0	15
7	1754	250	31	2	20
8	1657	153	19	0	11
9	1705	201	25	0	0
10	1401	-103	-13	1	-8
11	1768	264	33	-3	-11
12	1571	67	8	-13	7
13	1717	213	27	-4	4
14	1686	182	23	0	0
15	1910	406	51	-11	6
16	1819	315	39	7	-18
17	1834	330	41	-6	-12
18	2248	744	93	6	16
19	1034	-470	-59	0	-10
20	1480	-24	-3	0	-10
21	1119	-385	-48	0	17
22	2094	590	74	12	7
23	1539	35	4	5	14
24	1267	-237	-30	6	14
25	1353	-151	-19	4	11
26	1311	-193	-24	7	-11
27	1049	-455	-57	-1	-3
28	1388	-116	-15	-2	-6
29	1534	30	4	6	-6
30	1588	84	11	0	1
31	1380	-124	-16	-4	9
32	1362	-142	-18	-3	10
33	1246	-258	-32	0	6
34	1415	-89	-11	6	10
35	2082	578	72	-2	5
36	2240	736	92	-4	7
37	1714	210	26	8	10
38	1822	318	40	0	5
39	1761	257	32	0	8
40	2179	675	84	5	19
41	2089	585	73	6	10
42	2011	507	63	8	18
43	1372	-132	-17	0	6
44	1417	-87	-11	0	9
45	1650	146	18	0	11
46	1844	340	43	0	8
47	1348	-156	-20	0	8
48	1807	303	38	0	9
49	1465	-39	-5	0	16
50	1358	-146	-18	0	9
51	2263	759	95	-6	-31
52	1412	-92	-12	0	-14
53	1323	-181	-23	-10	6
54	1803	299	37	4	9
55	1767	263	33	4	5
56	1348	-156	-20	0	-2
57	1858	354	44	6	7
58	1317	-187	-23	0	9
59	1225	-279	-35	-3	7
60	1414	-90	-11	3	16
61	1346	-158	-20	-11	17
62	1851	347	43	1	17
63	1397	-107	-13	1	15
64	2022	518	65	3	17
65	1680	176	22	6	9
66	1433	-71	-9	1	19
67	1943	439	55	1	25
68	1613	109	14	4	13
69	1910	406	51	14	18
70	1474	-30	-4	1	20
71	1454	-50	-6	0	26
72	1251	-253	-32	0	20
73	1373	-131	-16	-14	20
74	1611	107	13	-8	19
75	2075	571	71	7	21
76	1654	150	19	19	-17
77	1846	342	43	26	-13
78	1895	391	49	3	-7
79	1560	56	7	0	15
80	1437	-67	-8	0	18
81	1461	-43	-5	0	18
82	1541	37	5	0	30
83	1782	278	35	0	25
84	1405	-99	-12	0	31
85	1737	233	29	0	13
86	1487	-17	-2	4	30
87	1611	107	13	0	12
88	1867	363	45	0	16
89	1491	-13	-2	20	24
90	1458	-46	-6	15	28
91	1708	204	26	1	22
92	1536	32	4	0	15
93	2411	907	113	6	24
94	1671	167	21	3	24
95	1634	130	16	0	18
96	1922	418	52	-1	-12
97	1973	469	59	12	14
98	1434	-70	-9	0	8
99	1680	176	22	0	13
100	1772	268	34	0	16
101	1938	434	54	10	-22
102	1238	-266	-33	0	27
103	1405	-99	-12	0	19
104	1882	378	47	0	19
105	1573	69	9	0	28
106	1706	202	25	7	28
107	1624	120	15	5	30
108	2290	786	98	16	20
109	1232	-272	-34	-6	30
110	1618	114	14	-2	30
111	1546	42	5	-12	-15
112	1610	106	13	0	29
113	1569	65	8	0	31
114	1501	-3	0	11	25
115	1873	369	46	0	30
116	1556	52	7	9	31
117	2677	1173	125	23	28
118	1930	426	53	1	19
119	1836	332	42	0	23
120	1869	365	46	11	5
121	2562	1058	125	14	19
122	2385	881	110	27	25
123	1678	174	22	0	26
124	1722	218	27	-7	14
125	1831	327	41	2	10
126	1645	141	18	3	29
127	1207	-297	-37	-6	28
128	1802	298	37	0	28
129	1637	133	17	0	22
130	1603	99	12	0	22
131	1448	-56	-7	-6	22
132	1795	291	36	7	30
133	1883	379	47	0	20
134	1715	211	26	9	20
135	1638	134	17	7	20
136	2437	933	117	4	17
137	1683	179	22	6	30
138	1839	335	42	2	27
139	1933	429	54	0	15
140	2185	681	85	12	31
141	1742	238	30	17	11
142	1792	288	36	18	29
143	1580	76	10	7	21
144	1892	388	49	7	-10
145	2184	680	85	13	-11
146	1821	317	40	4	17
147	1643	139	17	0	11
148	1622	118	15	10	9
149	2009	505	63	0	15
150	1729	225	28	8	20
151	1642	138	17	-2	12
152	1223	-281	-35	0	19
153	1316	-188	-24	0	21
154	1163	-341	-43	-3	16
155	1781	277	35	0	10
156	1574	70	9	0	13
157	1679	175	22	8	13
158	1592	88	11	13	30
159	2009	505	63	14	30
160	1703	199	25	8	27
161	1749	245	31	19	13
162	1522	18	2	13	20
163	1371	-133	-17	-3	-23
164	1371	-133	-17	0	31
165	1672	168	21	-1	22
166	1594	90	11	17	-7
167	1725	221	28	14	9
168	2075	571	71	19	20
169	1790	286	36	5	18
170	1768	264	33	9	11
171	1357	-147	-18	4	25
172	2031	527	66	11	14
173	2679	1175	125	27	23
174	1767	263	33	5	19
175	2008	504	63	8	11
176	1924	420	53	0	18
177	1428	-76	-10	10	16
178	1785	281	35	8	11
179	1639	135	17	-1	22
180	1710	206	26	11	15
181	1889	385	48	0	22
182	1721	217	27	0	-24
183	1313	-191	-24	9	14
184	1738	234	29	0	21
185	1638	134	17	23	15
186	1298	-206	-26	0	22
187	1331	-173	-22	-2	28
188	1834	330	41	-1	27
189	1482	-22	-3	0	28
190	1517	13	2	0	0
191	1615	111	14	0	30
192	1518	14	2	19	22
193	1465	-39	-5	0	16
194	1492	-12	-2	25	-25
195	1609	105	13	0	26
196	1559	55	7	2	31
197	2336	832	104	0	15
198	1666	162	20	2	28
199	2263	759	95	0	19
200	1842	338	42	12	22
201	1611	107	13	0	-6
202	1380	-124	-16	0	11
203	1345	-159	-20	26	-29
204	1518	14	2	0	31
205	1406	-98	-12	0	30
206	1335	-169	-21	29	-30
207	1522	18	2	0	26
208	1392	-112	-14	0	27
209	1438	-66	-8	0	31
210	1620	116	15	0	27
211	1684	180	23	0	26
212	1521	17	2	0	29
213	1667	163	20	8	27
214	1540	36	5	0	27
215	1934	430	54	22	27
216	1613	109	14	0	28
217	1684	180	23	0	29
218	1473	-31	-4	19	30
219	1386	-118	-15	0	16
220	1443	-61	-8	6	30
221	1662	158	20	0	21
222	1589	85	11	0	30
223	1565	61	8	22	-29
224	1674	170	21	0	29
225	1819	315	39	27	-24
226	1705	201	25	17	28
227	1367	-137	-17	-3	31
228	1439	-65	-8	-3	24
229	1580	76	10	0	22
230	1398	-106	-13	0	0
231	1453	-51	-6	0	19
232	1589	85	11	0	26
233	1493	-11	-1	0	20
234	1768	264	33	0	23
235	1510	6	1	0	30
236	1597	93	12	0	29
237	1866	362	45	25	22
238	1565	61	8	0	17
239	1853	349	44	0	15
240	1604	100	13	0	20
241	1587	83	10	0	14
242	1990	486	61	0	14
243	1768	264	33	0	13
244	1312	-192	-24	0	17
245	1680	176	22	9	21
246	1467	-37	-5	0	14
247	2041	537	67	4	21
248	1466	-38	-5	0	23
249	1443	-61	-8	0	23
250	1687	183	23	0	20
