Trial	RT	Difference	sDifference	Direction	Confidence

1	740	-764	-96	-7	11
2	1338	-166	-21	-5	6
3	1064	-440	-55	0	12
4	1376	-128	-16	-5	12
5	1601	97	12	-4	16
6	1417	-87	-11	0	13
7	1478	-26	-3	0	21
8	1535	31	4	0	24
9	1598	94	12	0	19
10	1443	-61	-8	0	22
11	1447	-57	-7	-1	22
12	1558	54	7	0	21
13	1158	-346	-43	0	21
14	1588	84	11	-2	23
15	1338	-166	-21	0	16
16	1423	-81	-10	0	11
17	1335	-169	-21	-2	17
18	1441	-63	-8	0	23
19	1468	-36	-5	0	15
20	1213	-291	-36	0	19
21	1527	23	3	0	20
22	1448	-56	-7	0	24
23	1289	-215	-27	-4	23
24	1210	-294	-37	-6	26
25	1319	-185	-23	-4	23
26	1291	-213	-27	-2	21
27	1733	229	29	2	25
28	1360	-144	-18	0	19
29	1615	111	14	2	25
30	1491	-13	-2	2	25
31	1512	8	1	0	23
32	1590	86	11	0	28
33	1521	17	2	2	24
34	1437	-67	-8	0	24
35	1492	-12	-2	0	29
36	1481	-23	-3	0	30
37	1424	-80	-10	0	30
38	1500	-4	-1	0	31
39	1460	-44	-6	-1	31
40	1331	-173	-22	0	31
41	1433	-71	-9	-2	29
42	1303	-201	-25	0	31
43	1519	15	2	-2	21
44	1455	-49	-6	1	10
45	1496	-8	-1	1	18
46	1453	-51	-6	0	8
47	1552	48	6	-2	16
48	1582	78	10	3	15
49	1361	-143	-18	0	15
50	1653	149	19	0	12
51	1447	-57	-7	0	15
52	1466	-38	-5	-5	10
53	1880	376	47	3	21
54	1359	-145	-18	-1	12
55	1304	-200	-25	-2	10
56	1548	44	6	0	11
57	1685	181	23	2	11
58	1449	-55	-7	2	15
59	1844	340	43	3	21
60	1210	-294	-37	-2	13
61	1511	7	1	0	19
62	1361	-143	-18	0	27
63	1264	-240	-30	0	31
64	1623	119	15	0	30
65	1481	-23	-3	-2	17
66	1361	-143	-18	-1	23
67	1463	-41	-5	0	20
68	1444	-60	-8	0	24
69	1505	1	0	0	23
70	1453	-51	-6	0	29
71	1527	23	3	0	26
72	1481	-23	-3	0	30
73	1660	156	20	0	18
74	1575	71	9	0	25
75	1540	36	5	3	14
76	1592	88	11	0	22
77	1437	-67	-8	3	20
78	1479	-25	-3	-3	20
79	1440	-64	-8	0	21
80	1382	-122	-15	0	20
81	1673	169	21	0	23
82	1509	5	1	3	21
83	1531	27	3	0	20
84	1535	31	4	5	20
85	1724	220	28	3	18
86	1510	6	1	5	9
87	1568	64	8	4	15
88	1409	-95	-12	-2	20
89	1584	80	10	-1	21
90	1839	335	42	1	19
91	1775	271	34	14	21
92	1242	-262	-33	-2	12
93	1560	56	7	0	15
94	1497	-7	-1	0	19
95	1611	107	13	1	12
96	1860	356	45	7	21
97	1507	3	0	0	20
98	1644	140	18	0	20
99	1368	-136	-17	0	22
100	1464	-40	-5	0	7
101	1558	54	7	13	11
102	1489	-15	-2	0	16
103	1546	42	5	0	18
104	1588	84	11	4	21
105	1511	7	1	0	17
106	1482	-22	-3	-4	20
107	1704	200	25	0	21
108	1482	-22	-3	0	21
109	1788	284	36	4	23
110	1517	13	2	1	19
111	2063	559	70	-2	5
112	1615	111	14	0	16
113	1384	-120	-15	0	18
114	1655	151	19	0	12
115	1490	-14	-2	3	10
116	1633	129	16	0	20
117	1338	-166	-21	0	15
118	1736	232	29	0	20
119	1613	109	14	2	11
120	1350	-154	-19	-8	13
121	1525	21	3	0	9
122	1725	221	28	8	18
123	1712	208	26	0	20
124	1662	158	20	10	15
125	1683	179	22	3	21
126	1522	18	2	3	23
127	1611	107	13	2	19
128	1684	180	23	0	12
129	1559	55	7	3	23
130	1601	97	12	3	15
131	1533	29	4	0	9
132	1497	-7	-1	3	20
133	2277	773	97	7	22
134	1624	120	15	2	21
135	1760	256	32	9	18
136	1339	-165	-21	-3	21
137	1550	46	6	0	18
138	1711	207	26	6	21
139	1421	-83	-10	10	17
140	1247	-257	-32	2	5
141	1504	0	0	-3	16
142	1605	101	13	0	14
143	1602	98	12	0	8
144	1631	127	16	4	19
145	1584	80	10	1	20
146	1540	36	5	6	20
147	1691	187	23	1	19
148	1527	23	3	4	19
149	1586	82	10	5	19
150	1792	288	36	6	15
151	1315	-189	-24	-4	11
152	1282	-222	-28	-3	17
153	1528	24	3	0	13
154	1677	173	22	5	17
155	1264	-240	-30	0	16
156	1412	-92	-12	0	12
157	1570	66	8	0	17
158	1525	21	3	2	16
159	1483	-21	-3	1	21
160	1455	-49	-6	-2	19
161	1572	68	9	1	20
162	1516	12	2	1	25
163	1244	-260	-33	0	31
164	1568	64	8	0	16
165	1610	106	13	0	12
166	1604	100	13	4	30
167	1388	-116	-15	0	28
168	1465	-39	-5	-1	22
169	1333	-171	-21	5	10
170	1469	-35	-4	-6	11
171	1519	15	2	0	17
172	1260	-244	-31	-2	13
173	1525	21	3	2	8
174	1463	-41	-5	0	14
175	1559	55	7	0	16
176	1491	-13	-2	0	20
177	1436	-68	-9	0	22
178	1414	-90	-11	0	13
179	1380	-124	-16	0	20
180	1553	49	6	0	20
181	1367	-137	-17	-2	9
182	1456	-48	-6	0	18
183	1372	-132	-17	-5	7
184	1473	-31	-4	0	20
185	1286	-218	-27	0	20
186	1547	43	5	0	15
187	1545	41	5	2	19
188	1409	-95	-12	4	22
189	1761	257	32	0	18
190	1443	-61	-8	0	18
191	1589	85	11	0	5
192	1547	43	5	3	18
193	1704	200	25	0	16
194	1356	-148	-19	0	7
195	1393	-111	-14	3	13
196	1694	190	24	1	10
197	1306	-198	-25	-4	10
198	1417	-87	-11	0	11
199	1342	-162	-20	0	13
200	1476	-28	-4	0	14
201	1581	77	10	-2	6
202	1578	74	9	0	11
203	1543	39	5	6	14
204	1527	23	3	0	14
205	1532	28	4	5	17
206	1507	3	0	0	8
207	1516	12	2	0	18
208	1225	-279	-35	0	18
209	1433	-71	-9	0	11
210	1644	140	18	0	13
211	1656	152	19	0	23
212	1595	91	11	3	7
213	1422	-82	-10	0	13
214	1659	155	19	0	11
215	1584	80	10	-6	12
216	1647	143	18	0	10
217	1523	19	2	0	11
218	1544	40	5	2	22
219	1596	92	12	1	16
220	1329	-175	-22	3	19
221	1565	61	8	0	6
222	1557	53	7	3	12
223	1614	110	14	0	11
224	1428	-76	-10	0	14
225	1487	-17	-2	-2	15
226	1391	-113	-14	0	20
227	1540	36	5	0	24
228	1365	-139	-17	0	26
229	1547	43	5	0	21
230	1603	99	12	0	14
231	1627	123	15	0	17
232	1579	75	9	0	16
233	1484	-20	-3	0	23
234	1629	125	16	-2	18
235	1617	113	14	1	17
236	1659	155	19	0	6
237	1532	28	4	0	17
238	1553	49	6	0	16
239	2032	528	66	0	13
240	1474	-30	-4	2	12
241	1521	17	2	1	20
242	1592	88	11	0	24
243	1548	44	6	0	15
244	1496	-8	-1	0	18
245	1488	-16	-2	0	5
246	1405	-99	-12	0	13
247	1396	-108	-14	0	20
248	1295	-209	-26	0	10
249	1480	-24	-3	0	21
250	1455	-49	-6	0	11
