Trial	RT	Difference	sDifference	Direction	Confidence

1	972	-532	-67	-9	-14
2	1704	200	25	0	-15
3	1160	-344	-43	-7	11
4	1124	-380	-48	-5	18
5	1508	4	1	4	-5
6	1312	-192	-24	0	-10
7	1201	-303	-38	0	0
8	1462	-42	-5	-7	-17
9	1455	-49	-6	0	0
10	1695	191	24	5	5
11	1356	-148	-19	-4	-4
12	1196	-308	-39	0	0
13	1412	-92	-12	0	-16
14	1528	24	3	4	9
15	1529	25	3	8	6
16	1381	-123	-15	0	0
17	1627	123	15	8	6
18	1405	-99	-12	4	15
19	1199	-305	-38	-6	11
20	1570	66	8	-2	-17
21	1344	-160	-20	0	0
22	1516	12	2	4	13
23	1605	101	13	0	15
24	1479	-25	-3	1	4
25	1359	-145	-18	0	-10
26	1782	278	35	12	23
27	1669	165	21	-1	7
28	1530	26	3	5	-14
29	1342	-162	-20	1	14
30	1001	-503	-63	-13	-26
31	1308	-196	-25	4	-15
32	1470	-34	-4	-4	10
33	1301	-203	-25	6	10
34	1277	-227	-28	2	8
35	1915	411	51	0	0
36	1418	-86	-11	4	2
37	1819	315	39	3	7
38	1521	17	2	-1	-12
39	1298	-206	-26	-13	13
40	1244	-260	-33	5	-12
41	1752	248	31	4	-13
42	1653	149	19	-13	-7
43	1099	-405	-51	0	0
44	1326	-178	-22	-11	7
45	1557	53	7	-5	11
46	1839	335	42	13	11
47	1324	-180	-23	-5	16
48	1501	-3	0	0	0
49	1157	-347	-43	0	0
50	1701	197	25	9	17
51	921	-583	-73	-10	14
52	1118	-386	-48	-2	-28
53	1681	177	22	7	9
54	946	-558	-70	-10	9
55	1620	116	15	7	0
56	1031	-473	-59	-12	5
57	1097	-407	-51	-5	-17
58	1530	26	3	3	-18
59	1129	-375	-47	-7	16
60	1559	55	7	-7	-6
61	1350	-154	-19	0	8
62	1544	40	5	13	-13
63	1578	74	9	0	6
64	1202	-302	-38	2	7
65	1579	75	9	7	-9
66	1616	112	14	-6	14
67	1496	-8	-1	-6	-20
68	1353	-151	-19	-3	9
69	1269	-235	-29	1	17
70	1464	-40	-5	10	-17
71	1556	52	7	-7	16
72	1854	350	44	0	-11
73	1475	-29	-4	12	19
74	1463	-41	-5	0	-28
75	1449	-55	-7	5	-17
76	1674	170	21	-11	14
77	1752	248	31	6	-29
78	1210	-294	-37	-13	24
79	1324	-180	-23	15	16
80	1793	289	36	5	-18
81	1667	163	20	1	-22
82	1403	-101	-13	-7	-28
83	1281	-223	-28	-7	13
84	1659	155	19	13	-12
85	1659	155	19	-5	8
86	1729	225	28	9	9
87	1357	-147	-18	-9	6
88	1356	-148	-19	0	-15
89	1364	-140	-18	-13	9
90	1557	53	7	8	-8
91	1309	-195	-24	-1	5
92	1179	-325	-41	6	-24
93	1640	136	17	4	-15
94	1483	-21	-3	-10	-17
95	1389	-115	-14	0	-18
96	1343	-161	-20	-9	17
97	1529	25	3	-7	13
98	1226	-278	-35	3	0
99	1401	-103	-13	3	-10
100	1388	-116	-15	-3	15
101	1090	-414	-52	-11	-9
102	2095	591	74	10	25
103	1161	-343	-43	0	-19
104	1621	117	15	6	13
105	1519	15	2	4	13
106	1600	96	12	0	14
107	1571	67	8	1	17
108	1299	-205	-26	0	20
109	1566	62	8	2	16
110	1275	-229	-29	0	-15
111	1523	19	2	4	14
112	1440	-64	-8	-3	-10
113	1400	-104	-13	-6	-21
114	1456	-48	-6	6	16
115	1403	-101	-13	-2	-21
116	1736	232	29	2	-5
117	1539	35	4	13	17
118	1559	55	7	3	11
119	1408	-96	-12	-5	-26
120	1605	101	13	-1	14
121	1361	-143	-18	1	7
122	1671	167	21	6	21
123	1798	294	37	7	-16
124	1273	-231	-29	4	14
125	1245	-259	-32	-12	15
126	1582	78	10	0	-20
127	1409	-95	-12	2	-21
128	1060	-444	-56	-13	22
129	1840	336	42	16	23
130	1269	-235	-29	-2	4
131	1539	35	4	7	11
132	1435	-69	-9	3	14
133	1267	-237	-30	-6	-23
134	1662	158	20	9	15
135	1644	140	18	4	13
136	1717	213	27	7	16
137	1062	-442	-55	-17	28
138	1535	31	4	13	23
139	1543	39	5	0	0
140	1395	-109	-14	-6	10
141	1668	164	21	-7	14
142	1338	-166	-21	0	-29
143	1262	-242	-30	-6	-7
144	1654	150	19	6	-8
145	1575	71	9	-6	16
146	1433	-71	-9	-7	15
147	1551	47	6	0	0
148	1440	-64	-8	0	14
149	1589	85	11	-5	9
150	1415	-89	-11	-1	-24
151	1722	218	27	10	18
152	1415	-89	-11	0	-4
153	1601	97	12	0	-4
154	1589	85	11	0	0
155	1649	145	18	2	16
156	1526	22	3	5	8
157	1710	206	26	-3	12
158	1543	39	5	1	-11
159	1596	92	12	-6	14
160	1517	13	2	7	-17
161	1703	199	25	2	-7
162	1504	0	0	4	-7
163	1540	36	5	0	0
164	1595	91	11	7	16
165	1343	-161	-20	-8	20
166	1834	330	41	0	7
167	1694	190	24	0	-21
168	1514	10	1	0	-26
169	1254	-250	-31	-10	17
170	1147	-357	-45	-5	25
171	1573	69	9	0	-22
172	1030	-474	-59	-21	25
173	1834	330	41	14	25
174	1266	-238	-30	0	-17
175	1988	484	61	5	5
176	1865	361	45	-1	-17
177	1408	-96	-12	9	-24
178	1298	-206	-26	0	-30
179	1545	41	5	-10	-28
180	1699	195	24	0	-21
181	1694	190	24	10	-29
182	2033	529	66	-4	-30
183	1624	120	15	4	-22
184	3622	2118	125	30	28
185	1333	-171	-21	0	-30
186	1606	102	13	4	7
187	1617	113	14	-7	21
188	1425	-79	-10	-5	7
189	1697	193	24	0	-18
190	1450	-54	-7	0	-30
191	985	-519	-65	-12	20
192	1399	-105	-13	-5	11
193	1674	170	21	6	-15
194	1664	160	20	0	-14
195	1509	5	1	4	-18
196	1555	51	6	6	-12
197	1617	113	14	6	-15
198	1600	96	12	-8	-29
199	1712	208	26	11	12
200	1528	24	3	0	9
201	1653	149	19	16	8
202	1542	38	5	-6	13
203	1618	114	14	0	-27
204	1616	112	14	4	-14
205	1508	4	1	4	17
206	1366	-138	-17	0	14
207	1803	299	37	0	21
208	1647	143	18	3	12
209	1740	236	30	4	-18
210	1617	113	14	0	-5
211	1549	45	6	-2	-9
212	1660	156	20	3	-18
213	1687	183	23	2	13
214	1588	84	11	-4	-13
215	1472	-32	-4	4	14
216	1549	45	6	0	-25
217	1639	135	17	7	-10
218	1813	309	39	12	-23
219	1477	-27	-3	6	-12
220	1807	303	38	0	4
221	1865	361	45	-7	-17
222	1917	413	52	4	13
223	1811	307	38	7	14
224	1438	-66	-8	-5	12
225	1670	166	21	8	13
226	1632	128	16	0	0
227	1612	108	14	6	-11
228	1741	237	30	8	14
229	1611	107	13	0	-13
230	1625	121	15	0	-8
231	1809	305	38	4	14
232	1482	-22	-3	3	-7
233	1802	298	37	0	-15
234	1630	126	16	1	-13
235	1683	179	22	10	7
236	1375	-129	-16	5	-17
237	1765	261	33	-3	-31
238	1339	-165	-21	6	7
239	1694	190	24	-3	-13
240	1403	-101	-13	4	-15
241	1463	-41	-5	0	-9
242	1498	-6	-1	5	-31
243	1434	-70	-9	4	-12
244	1328	-176	-22	0	15
245	1570	66	8	-3	-20
246	1811	307	38	11	-12
247	1818	314	39	19	20
248	1385	-119	-15	3	-16
249	1428	-76	-10	-8	13
250	1657	153	19	-5	-9
