Trial	RT	Difference	sDifference	Direction	Confidence

1	1348	-156	-20	3	4
2	1022	-482	-60	2	2
3	2094	590	74	-1	3
4	671	-833	-104	3	3
5	2629	1125	125	-5	1
6	517	-987	-123	4	5
7	2558	1054	125	-3	1
8	2223	719	90	5	-2
9	792	-712	-89	5	2
10	1617	113	14	-3	0
11	2046	542	68	1	3
12	543	-961	-120	-11	2
13	1988	484	61	1	0
14	1388	-116	-15	1	2
15	1712	208	26	-1	3
16	2310	806	101	1	5
17	1586	82	10	-1	-1
18	2114	610	76	7	2
19	1616	112	14	-2	3
20	2284	780	98	2	3
21	1527	23	3	-3	-1
22	1239	-265	-33	0	0
23	1385	-119	-15	-2	3
24	2120	616	77	6	3
25	1440	-64	-8	-1	3
26	1604	100	13	-1	0
27	1774	270	34	7	4
28	1315	-189	-24	2	3
29	1815	311	39	1	1
30	1134	-370	-46	-6	5
31	1897	393	49	1	1
32	1360	-144	-18	0	0
33	1368	-136	-17	0	0
34	1536	32	4	-1	-1
35	1328	-176	-22	-1	2
36	1627	123	15	7	2
37	1617	113	14	2	0
38	1651	147	18	2	1
39	891	-613	-77	-6	3
40	1715	211	26	2	2
41	1455	-49	-6	1	-1
42	1667	163	20	0	-2
43	1485	-19	-2	2	-1
44	1593	89	11	0	-1
45	1529	25	3	-1	1
46	1519	15	2	1	1
47	1245	-259	-32	0	0
48	1545	41	5	0	0
49	1663	159	20	4	3
50	1450	-54	-7	0	-1
51	1330	-174	-22	1	-1
52	1782	278	35	2	1
53	1559	55	7	1	-1
54	1358	-146	-18	2	-3
55	1652	148	19	1	-1
56	1539	35	4	-1	-1
57	1593	89	11	1	2
58	1449	-55	-7	1	0
59	1469	-35	-4	1	2
60	1517	13	2	0	1
61	1242	-262	-33	0	-1
62	1561	57	7	2	2
63	1505	1	0	0	0
64	1328	-176	-22	0	0
65	1456	-48	-6	0	0
66	1674	170	21	1	1
67	1237	-267	-33	-1	1
68	1353	-151	-19	1	2
69	1473	-31	-4	2	-4
70	1603	99	12	2	-1
