Trial	RT	Difference	sDifference	Direction	Confidence

1	681	-823	-103	-10	-11
2	1172	-332	-42	-6	-10
3	1246	-258	-32	-6	-2
4	2762	1258	125	2	2
5	1624	120	15	8	-8
6	1718	214	27	-2	3
7	1302	-202	-25	-4	-4
8	1987	483	60	3	-5
9	1701	197	25	12	-16
10	2083	579	72	14	8
11	1611	107	13	-5	-6
12	1411	-93	-12	4	-7
13	2133	629	79	9	8
14	1693	189	24	16	11
15	1135	-369	-46	3	-7
16	1715	211	26	7	-9
17	1248	-256	-32	13	14
18	1553	49	6	-3	-23
19	1525	21	3	9	-9
20	796	-708	-89	3	6
21	1894	390	49	7	-19
22	908	-596	-75	-4	-12
23	2312	808	101	12	-9
24	1243	-261	-33	13	-21
25	1733	229	29	6	-23
26	1536	32	4	24	9
27	1303	-201	-25	9	-3
28	2035	531	66	10	11
29	971	-533	-67	-16	16
30	1957	453	57	10	11
31	1400	-104	-13	-4	-8
32	1281	-223	-28	3	3
33	2319	815	102	-3	-3
34	2030	526	66	-4	-12
35	1612	108	14	-4	-27
36	1662	158	20	8	4
37	2101	597	75	2	10
38	1881	377	47	8	-10
39	1405	-99	-12	-5	5
40	1090	-414	-52	-21	3
41	1541	37	5	-8	7
42	1580	76	10	3	8
43	1578	74	9	-5	-13
44	1751	247	31	4	-14
45	1722	218	27	8	7
46	1325	-179	-22	-4	7
47	1474	-30	-4	5	-7
48	1620	116	15	5	-3
49	1571	67	8	-3	-5
50	1387	-117	-15	-4	3
51	1294	-210	-26	5	-14
52	1635	131	16	-3	-18
53	1561	57	7	-5	-15
54	1648	144	18	-2	5
55	1542	38	5	-3	5
56	1446	-58	-7	-2	4
57	1986	482	60	3	-9
58	1437	-67	-8	7	-12
59	1586	82	10	-2	-11
60	1939	435	54	29	30
61	1634	130	16	6	9
62	1534	30	4	-4	4
63	1513	9	1	19	23
64	1775	271	34	5	-10
65	1609	105	13	5	-7
66	1289	-215	-27	-6	-3
67	1705	201	25	-3	-9
68	1454	-50	-6	-4	-13
69	1666	162	20	7	11
70	1245	-259	-32	-3	5
71	1622	118	15	8	5
72	1485	-19	-2	1	-8
73	1577	73	9	11	8
74	1510	6	1	10	8
75	1566	62	8	3	9
76	1351	-153	-19	5	9
77	1696	192	24	-2	-4
78	1440	-64	-8	4	-9
79	1431	-73	-9	-6	9
80	1620	116	15	-4	-8
81	1469	-35	-4	3	-25
82	1439	-65	-8	-6	9
83	1478	-26	-3	-6	9
84	1670	166	21	11	10
85	1390	-114	-14	2	6
86	1436	-68	-9	-10	5
87	1812	308	39	-3	-23
88	1352	-152	-19	-7	-5
89	1725	221	28	5	-8
90	1927	423	53	-4	-11
91	1655	151	19	16	-11
92	1332	-172	-22	-4	-10
